Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Length,Print Length,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq ft,Printer,Minutes of Print Time,Total Ink Used For Print,Day of Week,Empty Space
Hard Hat Decals 6-28-24_HPW36.eps,2024-06-28,0 days 00:07:01,1941.0,53.92,23.91653543,819.1413386,0.577979732818135,"High Performance White 36""",0.3823515983,Roland,7.016666666666667,2.175000000328552,Friday,1121.8586614
Heiland banner.eps_BAN54,2024-02-26,0 days 00:28:02,9367.38,173.47,158.4720472,5704.993701,0.39097232086239686,"Banner 54""",0.5473268094,Roland,28.033333333333335,21.684000000107137,Monday,3662.386298999999
Hesse LOGO Final 5in NEW_HPW36.eps,2024-08-28,0 days 00:03:56,1304.0,36.22,6.222047244,38.71387191,0.970311447921779,"High Performance White 36""",0.7364801968,Roland,3.933333333333333,0.1980000000219916,Wednesday,1265.28612809
Higgins Strong Decals 1-1.5-2 9-16-24_v2_INT30.pdf,2024-09-16,0 days 00:20:56,2395.0,79.85,64.84724409,1402.308888,0.4144848066805845,"Intermediate White 30""",0.3817932015,Roland,20.933333333333334,3.717999998898784,Monday,992.691112
HOCKEY Banner 34x120_BAN38.eps,2024-09-18,0 days 00:23:57,5206.379999999999,137.01,122.0137795,4167.106829,0.1996153125588219,"Banner 38""",0.8150806157,Roland,23.95,23.586999999090242,Wednesday,1039.273170999999
Home Plate Decal 8-1-24_HTV54.eps,2024-08-06,0 days 00:05:58,2336.04,43.26,13.26377953,175.9278474,0.9246897110494684,High Tack Vinyle,0.7489433991,Roland,5.966666666666667,0.9150000001951534,Tuesday,2160.1121526
HOTWORX_HPW30.eps,2024-04-02,0 days 00:16:59,2889.0,96.31,66.30551181,1728.537705,0.40168303738317757,"High Performance White 30""",0.5798195765,Roland,16.983333333333334,6.9600000005373746,Tuesday,1160.462295
HPW24_Propane.eps,2024-02-27,0 days 00:05:03,1136.0,47.32,17.31929134,261.9508722,0.7694094434859154,"High Performance White 24""",0.5442241853,Roland,5.05,0.9900000000810377,Tuesday,874.0491278
Hyundai Now Open Banner 5-21-24_BAN54.eps,2024-05-22,0 days 00:29:04,7726.320000000001,143.08,128.0830709,4868.921617,0.3698265646517359,"Banner 54""",1.331777447,Roland,29.066666666666666,45.03000000507897,Wednesday,2857.3983830000006
Ilos Van logos 4 11 24_& Enterprise Key Drop Box Signs HPW36.eps,2024-04-16,0 days 00:18:02,2940.0,81.67,51.66653543,1574.385109,0.4644948608843537,"High Performance White 36""",0.224636271,Roland,18.033333333333335,2.456000000025615,Tuesday,1365.614891
Ilos Van logos 4 11 24_part2_HPW36.eps,2024-04-29,0 days 00:06:02,1750.0,48.6,18.59724409,533.8946623,0.6949173358285713,"High Performance White 36""",0.3379543059,Roland,6.033333333333333,1.253000000147996,Monday,1216.1053376999998
Incentive Concepts logo_ADDITIONAL_HPW36.eps,2024-07-15,0 days 00:26:59,4502.0,125.04,95.04173228,3096.751498,0.31213871657041314,"High Performance White 36""",0.3068092485,Roland,26.983333333333334,6.5979999992543705,Monday,1405.248502
Incentive Concepts_Remake Letters_HPW48.eps,2024-07-03,0 days 00:10:56,3405.0,70.94,40.93543307,1473.095403,0.567372862555066,"Water Damaged HP White 54"" to 48""",0.6107628861,Roland,10.933333333333334,6.247999998867518,Wednesday,1931.904597
INSERTS Small and Large NEW blk-white 9-18-24_RUB36.eps,2024-09-19,0 days 00:09:01,1570.0,43.62,28.62480315,922.7441957,0.4122648435031847,"Roll-up Banner 36""",1.304786316,Roland,9.016666666666667,8.36099999804018,Thursday,647.2558043
Integrate 4x4 Cons Proj 9 6 24_P1_INT54.eps,2024-09-11,0 days 00:21:01,6157.0,114.01,99.01338583,4868.145143,0.20933163180120193,"Intermediate White 54""",0.3124541187,Roland,21.016666666666666,10.563000002498267,Wednesday,1288.8548570000003
Integrate 4x4 Cons Proj 9 6 24_P2_INT54.eps,2024-09-11,0 days 00:21:57,6173.0,114.32,99.31929134,4883.185457,0.20894452340839145,"Intermediate White 54""",0.2279495649,Roland,21.95,7.730000001730261,Wednesday,1289.8145430000004
Integrate 4x4 Cons Proj 9 6 24_P3_INT54.eps,2024-09-11,0 days 00:32:57,8768.0,162.38,147.3751969,7313.465133,0.16589129413777376,"Intermediate White 54""",0.2586833964,Roland,32.95,13.138000000398733,Wednesday,1454.5348670000003
Integrate 4x4 Cons Proj 9 6 24_P4_INT54.eps,2024-09-13,0 days 00:28:02,7791.0,144.28,99.27795276,4881.152982,0.3734882579899885,"Intermediate White 54""",0.6084332966,Roland,28.033333333333335,20.62400000032764,Friday,2909.8470180000004
Integrate Fire arm Tobacco 2x2 signs 9 6 24_INT54.eps,2024-09-12,0 days 00:37:59,10165.0,188.25,113.2492126,5675.033968,0.44170841436301034,"Intermediate White 54""",2.7129407,Roland,37.983333333333334,106.91687934492845,Thursday,4489.966032
Integrate Fire arm Tobacco 2x2 signs 9 6 24_RGB_INT54.eps,2024-09-12,0 days 00:26:00,6382.0,118.19,88.19409449,4419.496352,0.30750605578188656,"Intermediate White 54""",1.7276507,Roland,26.0,53.02323587625171,Thursday,1962.5036479999999
Integrated Facilities Fort Zumwalt RTU # 8 6 24_HPW54.eps,2024-08-06,0 days 00:20:59,4642.0,85.96,55.95826772,2881.828757,0.3791838093494183,"High Performance White 54""",0.3009588956,Roland,20.983333333333334,6.02300000010445,Tuesday,1760.1712429999998
Integrated Zumwalt RYU Only decals 8 7 24_HPW54.eps,2024-08-08,0 days 00:25:59,7273.0,134.68,104.6807087,4924.320659,0.32293129946377014,"High Performance White 54""",0.3392435456,Roland,25.983333333333334,11.601000000211725,Thursday,2348.679341
interior panel vinyl_HPW54.eps,2024-07-09,0 days 00:45:58,9041.0,167.43,137.4307087,7089.097984,0.21589448246875345,"High Performance White 54""",1.255011007,Roland,45.96666666666667,61.7839999973716,Tuesday,1951.902016
interior wall logos need 2 - 1 up UPDATED 2 & Rischards Building Supply 2024_HPW30.eps,2024-04-15,0 days 00:11:01,3113.0,57.65,27.65275591,795.7788161,0.7443691564086091,"High Performance White 30""",0.6217607079,Roland,11.016666666666667,3.4360000002094444,Monday,2317.2211839
interior wall logos need 2 UPDATED_HPW54.eps,2024-04-15,0 days 00:58:04,20725.0,399.52,159.5220472,7566.180944,0.6349249242943306,"High Performance White 54""",5.041843228,Roland,58.06666666666667,264.91318162728504,Monday,13158.819056
interior wall logos need 2_HPW30.eps,2024-04-11,0 days 00:13:57,2340.0,78.01,48.01377953,1331.701872,0.4308966358974359,"High Performance White 30""",0.7740110771,Roland,13.95,7.158000002241711,Thursday,1008.2981279999999
Interlude Butterfly Vinyl Decal for window SURFACE  3-27-24_HPW36.eps,2024-04-09,0 days 00:49:05,10076.0,279.88,189.8751969,6070.698764,0.39750905478364434,"High Performance White 36""",2.180530531,Roland,49.083333333333336,91.92599999587475,Tuesday,4005.3012360000002
JE Foster Airport Mags 4 2 24_Mag24.eps,2024-04-02,0 days 00:09:58,1585.0,66.03,36.02755906,795.102697,0.498357919873817,"Magnet 24""",0.4266920503,Roland,9.966666666666667,2.3559999998749284,Tuesday,789.897303
JE Foster Bobcat 2 28 24_HPW24.eps,2024-05-08,0 days 00:20:00,3250.0,135.42,75.41653543,1330.240795,0.59069514,"High Performance White 24""",0.5280648684,Roland,20.0,4.878148821888795,Wednesday,1919.759205
JE Foster FCI Large wall logo 8 5 24_HPW54.eps,2024-08-06,0 days 00:29:58,8714.0,161.38,131.3751969,4634.596265,0.4681436464310305,"High Performance White 54""",0.2374109711,Roland,29.966666666666665,7.640999999514465,Tuesday,4079.403735
JE Foster Grey Lock Box 50% scale 4 27 24_HPW60.eps,2024-04-30,0 days 01:14:02,20633.399999999998,343.89,283.8889764,16075.1574,0.2209157288667887,"High Performance White 60""",0.8463086027,Roland,74.03333333333333,94.4759999817817,Tuesday,4558.242599999998
JE Foster Grey Lock Box 50% scale 6 25 24_HPW60.eps,2024-06-27,0 days 01:12:59,19733.399999999998,328.89,283.8889764,16075.1574,0.18538328924564434,"High Performance White 60""",0.8111218866,Roland,72.98333333333333,90.54799998388854,Thursday,3658.2425999999978
JE Foster Grey Lock Box 50% scale 7 9 24_HPW60.eps,2024-07-09,0 days 00:52:56,10316.4,171.94,141.9444882,8037.578702,0.22089307297119148,"High Performance White 60""",0.4055609433,Roland,52.93333333333333,22.637000001604925,Tuesday,2278.821298
JE Foster Large Wall logo graphic 8 5 24_HPW36.eps,2024-08-06,0 days 00:26:57,4941.0,137.24,107.2362205,3217.086614,0.34889969358429473,"High Performance White 36""",0.4965337249,Roland,26.95,11.092999998439918,Tuesday,1723.9133860000002
JE Foster White Door Logos 4 1 24_HPW36.eps,2024-04-02,0 days 00:15:04,2922.0,81.17,51.16653543,1753.86394,0.39977277891854895,"High Performance White 36""",0.4509996368,Roland,15.066666666666666,5.4929999995598395,Tuesday,1168.13606
John Dickey inserts NEW 214   9-20-24_RUB36.eps,2024-09-23,0 days 00:04:04,864.0,24.0,9.0,212.6232283,0.7539083005787037,"Roll-up Banner 36""",0.4110933724,Roland,4.066666666666666,0.6069999998084868,Monday,651.3767717000001
Just Pilates Door Sign 12x18 FINAL  3-26-24_HPW24.eps,2024-03-26,0 days 00:13:55,2814.0,71.42,26.41653543,494.9356318,0.8241166909026297,"High Performance White 24""",2.398566447,Roland,13.916666666666666,8.243999999029349,Tuesday,2319.0643682
Kinner Allie 2024_BAN54.eps,2024-06-03,0 days 00:49:00,6210.54,115.01,100.0137795,3801.901765,0.3878307256695875,"Banner 54""",0.5960511713,Roland,49.0,15.737000001359633,Monday,2408.638235
Knights & Ladies Aux Rollup Banner 3-20-24_RUB36.eps,2024-03-21,0 days 00:18:01,3091.0,103.03,88.02755906,2775.294067,0.10213715076027181,"Roll-up Banner 36""",0.07196642778,Roland,18.016666666666666,1.387000000284847,Thursday,315.7059330000002
KUMC  Decal  July13th  6-13-24_INT30.eps,2024-06-13,0 days 00:07:00,879.0,29.29,14.29173228,369.1993329,0.5799780058020477,"Intermediate White 30""",0.1825355411,Roland,7.0,0.46800000003236486,Thursday,509.8006671
KUMC Decal March 23rd  2-23-24.eps_HPW36,2024-02-23,0 days 00:07:02,1225.0,51.06,21.05511811,543.9183582,0.5559850137142858,"High Performance White 36""",0.2652751057,Roland,7.033333333333333,1.0019999997477462,Friday,681.0816418
KUMC Decal October 19th 9-19-24_INT30.eps,2024-09-19,0 days 00:05:01,888.0,29.61,14.61102362,377.4476087,0.5749463865990991,"Intermediate White 30""",0.2628603221,Roland,5.016666666666667,0.6889999999913664,Thursday,510.5523913
LabCorp_HPW24.eps,2024-05-08,0 days 00:04:55,982.0,40.9,10.90275591,219.2655816,0.7767152936863544,"High Performance White 24""",0.2246043344,Roland,4.916666666666667,0.3420000000840061,Wednesday,762.7344184
Landmark Builders Sprinter damaged side 250 3 15 24_HPW30.eps,2024-03-18,0 days 00:13:56,2656.0,88.54,58.54173228,1417.193928,0.4664179487951808,"High Performance White 30""",0.5037786192,Roland,13.933333333333334,4.958000001294891,Monday,1238.806072
Landmark Builders Sprinter damaged side 250 3 15 24_side_HPW30.eps,2024-03-21,0 days 00:17:02,2948.0,98.26,68.26377953,1921.813522,0.34809582021709634,"High Performance White 30""",0.5418132342,Roland,17.033333333333335,7.2309999991952285,Thursday,1026.186478
Lexus Cortesy Car Decals 3 8 23_INT54.eps,2024-07-12,0 days 00:43:59,7747.0,143.46,128.4582677,6067.832481,0.21675068013424548,"Intermediate White 54""",0.6648436674,Roland,43.983333333333334,28.01499999886723,Friday,1679.1675189999996
LGW ad DOT Decals 3x15 4-24-24_HPW48.eps,2024-04-24,0 days 00:09:57,2669.0,55.61,25.61102362,1195.530649,0.5520679471712252,"Water Damaged HP White 54"" to 48""",0.3449648073,Roland,9.95,2.8639999996772842,Wednesday,1473.469351
LittleBessBakery INT decals_INT30.eps,2024-04-04,0 days 00:17:03,2495.0,83.17,68.16653543,1758.106195,0.2953482184368737,"Intermediate White 30""",0.2251604602,Roland,17.05,2.7489999996296595,Thursday,736.8938049999999
Liz and Courtney B Day Prints 4.30.24_HPW24.eps,2024-05-02,0 days 00:04:00,941.0,39.21,9.208267717,209.4880906,0.7773771619553667,"High Performance White 24""",1.059267853,Roland,4.0,1.5409999997148018,Thursday,731.5119094
LOGO 80x53.33 9-18-24_HPW60.eps,2024-09-19,0 days 00:28:59,7770.0,129.5,99.5,5429.644488,0.3012040555984556,"High Performance White 60""",0.3903106372,Roland,28.983333333333334,14.716999999171858,Thursday,2340.355512
Logo for Front Door Americlock and McShane  4-23-24_HPW24.eps,2024-04-23,0 days 00:07:01,1371.0,57.13,27.12519685,544.7572506,0.602657001750547,"High Performance White 24""",0.2582581505,Roland,7.016666666666667,0.9770000000793126,Tuesday,826.2427494
Luz Landscaping Mags 24x12_MAG24.eps,2024-03-20,0 days 00:05:57,1008.0,42.01,12.01338583,267.1275662,0.7349924938492063,"Magnet 24""",0.5331385376,Roland,5.95,0.9889999999757999,Wednesday,740.8724338
Machine Unit Number decals 2x ea - 40  6x16  6-26-24_HPW30.eps,2024-06-27,0 days 00:33:00,5873.0,195.77,165.7685039,4533.246477,0.22812081099948925,"High Performance White 30""",0.3974476149,Roland,33.0,12.512000000260262,Thursday,1339.7535230000003
MAGS - Logo Web 6-13-24 & Phillips Route 66_MAG24.eps,2024-06-14,0 days 00:14:58,2319.0,96.62,66.62480315,1466.663728,0.36754474859853387,"Magnet 24""",1.127227713,Roland,14.966666666666667,11.480999998982597,Friday,852.336272
Mags 12x24 7-16-24_MAG24.eps,2024-07-18,0 days 00:10:58,1584.0,66.0,36.0,836.9858268,0.4715998568181818,"Magnet 24""",0.7711098317,Roland,10.966666666666667,4.482000000271065,Thursday,747.0141732
Mags 12x24 7-16-24_p2_MAG24.eps,2024-07-18,0 days 00:15:02,2160.0,90.0,60.0,1394.976378,0.35417760277777777,"Magnet 24""",0.7709033766,Roland,15.033333333333333,7.468000000537764,Thursday,765.0236219999999
MAGS 3 - 12x24_2-23-23_MAG24.eps,2024-03-27,0 days 00:15:05,2372.0,98.83,68.83188976,1652.913825,0.30315606028667785,"Magnet 24""",0.6434600424,Roland,15.083333333333334,7.385999999430877,Wednesday,719.0861749999999
Mak Queen Banner need 2 6-11-24_BAN38.eps,2024-06-12,0 days 00:13:03,3310.5600000000004,87.12,72.12480315,1731.989121,0.4768289591489054,"Banner 38""",0.7514319715,Roland,13.05,9.037999998677654,Wednesday,1578.5708790000003
Marathon 4 x 4_BAN54.eps,2024-02-28,0 days 00:25:59,7021.62,130.03,100.0267717,5002.716904,0.28752668130716275,"Banner 54""",1.043720862,Roland,25.983333333333334,36.25999999572813,Wednesday,2018.903096
May 14th Decal Need 4  4-29-24_INT30.eps,2024-05-02,0 days 00:04:59,719.0,23.96,8.958267717,262.1527714,0.6353925293463143,"Intermediate White 30""",0.5701713516,Roland,4.983333333333333,1.0379999999640543,Thursday,456.8472286
MC IND TRUCK DOOR LOGO 10-1-24_HPW54.eps,2024-10-01,0 days 00:55:02,13616.0,252.15,192.1480315,9553.9935,0.29832597679200934,"High Performance White 54""",1.096836417,Roland,55.03333333333333,72.77199999014785,Tuesday,4062.0064999999995
McAlisters Deli tenant panel print NEW Need 1  3-25-24_TW24.eps,2024-03-25,0 days 00:24:57,8178.0,151.44,121.4444882,2103.332472,0.7428060073367572,"Translucent White 24""",1.150448648,Roland,24.95,16.803999991020124,Monday,6074.667528
McCarthy_Crane DUDE_P1_TW60.eps,2024-08-29,0 days 00:49:59,7032.0,117.21,87.20826772,4359.177363,0.38009423165529016,"Translucent White 60""",1.253928332,Roland,49.983333333333334,37.958999997769084,Thursday,2672.822637
McCarthy_Crane DUDE_P2_TW60.eps,2024-08-29,0 days 00:51:03,7032.0,117.21,87.20826772,4359.177363,0.38009423165529016,"Translucent White 60""",1.000988865,Roland,51.05,30.30200000641016,Thursday,2672.822637
Meadow Brook Woodgrain 4 17 24_HPW24.eps,2024-05-17,0 days 00:06:00,1135.0,47.31,17.30551181,386.7236834,0.659274287753304,"High Performance White 24""",1.287989387,Roland,6.0,3.45899999944964,Friday,748.2763166
Melanie's mug_r2p_INT54.eps,2024-08-12,0 days 00:08:04,2196.0,40.67,10.66692913,215.4089748,0.901908481420765,"Intermediate White 54""",0.2740832876,Roland,8.066666666666666,0.40999999994256636,Monday,1980.5910251999999
Menchies tenant panels_TW30.eps,2024-04-19,0 days 00:36:56,5692.0,105.42,90.41653543,2596.948002,0.5437547431482783,"Translucent White 30""",0.7662040203,Roland,36.93333333333333,13.817999997517031,Friday,3095.051998
Meyer Landscape Chevy 550_HPW48.eps,2024-05-22,0 days 00:23:05,5268.0,109.75,79.75,3621.968701,0.3124584850037965,"Water Damaged HP White 54"" to 48""",0.3493878894,Roland,23.083333333333332,8.787999999411456,Wednesday,1646.0312990000002
Meyer Landscape Common Cents pick up 5 30 24_HPW24.eps,2024-06-03,0 days 00:17:00,2713.0,113.05,83.04645669,1702.419667,0.37249551529671954,"High Performance White 24""",0.2371777112,Roland,17.0,2.804000000839765,Monday,1010.5803330000001
Meyer MP Landscaping 2024 logo_HPW48.eps,2024-05-23,0 days 00:24:58,5304.0,110.5,80.5,3667.218701,0.3085937592383107,"Water Damaged HP White 54"" to 48""",0.5604552572,Roland,24.966666666666665,14.27300000192781,Thursday,1636.7812990000002
MIAAA  31.5x16 Plat-Gold-Silver-Bronze Sponsor  FINAL New 3-14-24_BAN38.eps,2024-03-18,0 days 00:13:01,3040.38,80.01,65.01377953,2341.391922,0.22990155112189933,"Banner 38""",0.2909653841,Roland,13.016666666666667,4.730999999398383,Monday,698.9880780000003
Midas Construction_SAMPLE_PERF54.eps,2024-08-14,0 days 00:09:03,1592.0,29.47,14.47244094,640.6049352,0.5976099653266331,"Perforated 54""",1.698269776,Roland,9.05,7.554999998656934,Wednesday,951.3950648
Midwest Roofing & Const yard signs 11 12 24_MAG24.eps,2024-07-18,0 days 00:07:57,1308.0,54.49,24.48622047,558.4207902,0.5730727903669725,"Magnet 24""",0.4835063535,Roland,7.95,1.8749999999179898,Thursday,749.5792098
Mission Towing Final Logo 22.5x38 4-15-24_HPW54.eps,2024-04-15,0 days 00:19:56,3784.0,70.07,40.06929134,1891.033922,0.5002553060253699,"High Performance White 54""",0.1522214894,Roland,19.933333333333334,1.9990000007830795,Monday,1892.966078
MMAA Traile Logo 2 29 24_HPW54.eps,2024-03-04,0 days 01:07:05,16853.0,312.08,222.0838583,10366.94445,0.3848605915860677,"High Performance White 54""",1.821685463,Roland,67.08333333333333,131.1480000020384,Monday,6486.055549999999
Mo Amer Water Hypochlorite 5 1 24_HTV54.eps,2024-05-02,0 days 00:07:00,2380.3199999999997,44.08,14.08346457,617.7151721,0.740490702048464,High Tack Vinyle,0.882115293,Roland,7.0,3.7840000001912286,Thursday,1762.6048278999997
Mo Amer water switch salt tanks 9 10 24_HPW54.eps,2024-09-11,0 days 00:09:01,2792.0,51.71,21.70826772,911.4395679,0.6735531633595989,"High Performance White 54""",0.4802951457,Roland,9.016666666666667,3.0400000004255245,Wednesday,1880.5604321
Mo Amer water switch salt tanks 9 10 24_P2_HPW54.eps,2024-09-11,0 days 00:05:58,2252.0,41.71,11.70826772,485.7271663,0.7843129812166962,"High Performance White 54""",0.4506233441,Roland,5.966666666666667,1.519999999988353,Wednesday,1766.2728336999999
Mo American WaterDanger Decal 7 14 24_RFVW30.eps,2024-07-16,0 days 00:11:01,2226.0,74.21,44.20826772,1127.919996,0.49329739622641505,"Reflective White Vinyl 30""",0.7720122023,Roland,11.016666666666667,6.04700000090394,Tuesday,1098.080004
MODOT High Flow 6 14 24_RFVW30.eps,2024-06-18,0 days 00:08:59,4007.0,95.42,35.41653543,903.6096767,0.7744922194409783,"Reflective White Vinyl 30""",0.9501093472,Roland,8.983333333333333,5.9620000003683336,Tuesday,3103.3903233
module logo for channel letters_TW24.eps,2024-08-12,0 days 00:09:01,1645.0,68.53,38.52795276,742.1939875,0.548818244680851,"Translucent White 24""",0.3880387134,Roland,9.016666666666667,2.000000000018859,Monday,902.8060125
Molner f250 9 30 24_HPW54.eps,2024-10-01,0 days 00:11:59,3556.0,65.85,35.84724409,1727.131511,0.5143049744094488,"High Performance White 54""",0.2472075793,Roland,11.983333333333333,2.9649999997712593,Tuesday,1828.868489
Motion Ortho Creve Coeur 2 114 24_RUB36.eps,2024-03-18,0 days 00:41:58,8261.0,229.47,199.4716535,6042.263395,0.2685796640842513,"Roll-up Banner 36""",0.5433725386,Roland,41.96666666666667,22.79999999882642,Monday,2218.736605
Motion Orto Creve Coeur  Insert 5 3 24_RUB36.eps,2024-05-03,0 days 00:03:57,937.0,26.03,11.02755906,211.9722611,0.7737756018143009,"Roll-up Banner 36""",0.280565012,Roland,3.95,0.41299999985547664,Friday,725.0277389
MU STL GARDEN HL 8 9 24_TW24.eps,2024-08-12,0 days 00:07:05,1526.0,63.6,33.59724409,671.4687005,0.5599811923328964,"Translucent White 24""",0.07849062803,Roland,7.083333333333333,0.36600000003286787,Monday,854.5312995
MUTLEY CRUE 8in tall PAW  6-7-24_HPW36.eps,2024-06-10,0 days 00:05:05,1546.0,42.94,12.94448819,431.6579111,0.7207904844113842,"High Performance White 36""",0.5604438001,Roland,5.083333333333333,1.6800000002785551,Monday,1114.3420889
MVP Tracktime E36 BMW M3 3 20 24_HPW24.eps,2024-03-20,0 days 00:12:04,2042.0,85.07,55.06929134,630.2181735,0.6913720991674829,"High Performance White 24""",1.407969553,Roland,12.066666666666666,6.162000000244941,Wednesday,1411.7818265
NAIC4 Various Set #1  8-1-24_P1_INT60.eps,2024-08-30,0 days 00:22:00,5714.4,95.24,80.23622047,4717.194804,0.17450741915161697,"Intermediate White 60""",0.3868027664,Roland,22.0,12.670999998853512,Friday,997.2051959999999
NAIC4 Various Set #1  8-1-24_P2_INT60.eps,2024-08-30,0 days 00:24:02,5732.400000000001,95.54,80.54173228,4735.156253,0.17396618292512742,"Intermediate White 60""",0.3865823855,Roland,24.033333333333335,12.711999999999874,Friday,997.2437470000004
NAIC4 Various Set #1  8-1-24_P3_INT60.eps,2024-08-30,0 days 00:24:00,5728.2,95.47,80.47244094,4741.157418,0.17231287001152196,"Intermediate White 60""",0.3976952954,Roland,24.0,13.093999999232022,Friday,987.042582
NAIC4 Various Set #1  8-1-24_P4_INT60.eps,2024-08-30,0 days 00:31:56,5691.0,94.85,79.84724409,4702.091035,0.17376717009312945,"Intermediate White 60""",0.3895458395,Roland,31.933333333333334,12.719999997461798,Friday,988.9089649999996
NAIC4 Various Set #1  8-1-24_P5_INT60.eps,2024-08-30,0 days 00:24:56,5728.2,95.47,80.47244094,4731.082522,0.1740716940749276,"Intermediate White 60""",0.8322086925,Roland,24.933333333333334,27.341999998216817,Friday,997.1174780000001
NAIC4 Various Set #2  8-1-24_P1_INT60.eps,2024-08-30,0 days 00:26:01,5746.2,95.77,80.77401575,4752.183393,0.17298677508614382,"Intermediate White 60""",0.4191656414,Roland,26.016666666666666,13.832999999842178,Friday,994.0166069999996
NAIC4 Various Set #2  8-1-24_P2_INT60.eps,2024-08-30,0 days 00:24:57,5728.2,95.47,80.47244094,4734.440821,0.173485419328934,"Intermediate White 60""",0.4172387141,Roland,24.95,13.718000000948532,Friday,993.7591789999997
NAIC4 Various Set #2  8-1-24_P3_INT60.eps,2024-08-30,0 days 00:29:00,6895.8,114.93,99.93031496,5875.036982,0.14802677252820565,"Intermediate White 60""",0.4089819362,Roland,29.0,16.686000001006697,Friday,1020.7630180000006
Name decal overlay Morgan Geiler  3-22-24_INT30.eps,2024-03-22,0 days 00:01:55,778.0,32.42,2.416535433,61.78909852,0.9205795648843187,"Intermediate White 30""",0.1468220158,Roland,1.9166666666666667,0.06299999999424442,Friday,716.21090148
New building faces final_TW30eps.eps,2024-10-18,0 days 00:27:59,5271.0,175.71,145.7082677,3604.214469,0.3162180859419465,"Translucent White 30""",1.349380299,Roland,27.983333333333334,33.773999984995456,Friday,1666.785531
New building faces final_TW60.eps,2024-10-01,0 days 01:31:00,21085.0,351.42,291.4165354,14279.29551,0.3227746971780887,"Translucent White 60""",2.990749227,Roland,91.0,296.5680000599796,Tuesday,6805.70449
New Building faces reverse_TW60.eps,2024-10-01,0 days 00:55:56,10542.0,175.69,145.6944882,7098.533737,0.3266425975147031,"Translucent White 60""",1.37006773,Roland,55.93333333333333,67.53800002347226,Tuesday,3443.4662630000003
NEW Fact Tag Bag Art - Stickers - PRINT_HPW24.eps,2024-05-08,0 days 00:38:57,7301.0,304.21,214.2074803,4548.872945,0.376952068894672,"High Performance White 24""",1.266059295,Roland,38.95,39.99404773466162,Wednesday,2752.127055
New Truck door layouts  LOGO FINAL   9-11-24_HPW54.eps,2024-09-18,0 days 00:18:00,5644.0,104.53,44.52755906,2196.681226,0.6107935460666194,"High Performance White 54""",0.717154579,Roland,18.0,10.939999998814125,Wednesday,3447.318774
New Trucks 2024 Logo 6-6-24_HPW36.eps,2024-06-07,0 days 00:15:56,4137.0,114.93,54.92598425,1577.586715,0.6186640766255741,"High Performance White 36""",1.215101511,Roland,15.933333333333334,13.312000007847406,Friday,2559.413285
NHC Insert 6-7-24_RUB36.eps,2024-06-10,0 days 00:03:02,655.0,18.19,3.194094488,67.91852099,0.8963076015419846,"Roll-up Banner 36""",0.1293314382,Roland,3.033333333333333,0.061000000000372145,Monday,587.08147901
Nissan Van Lettering  6-19-24_HPW54.eps,2024-06-19,0 days 00:22:58,5700.0,105.56,75.55551181,3335.98407,0.41473963684210524,"High Performance White 54""",0.2984474683,Roland,22.966666666666665,6.913999999865486,Wednesday,2364.01593
Noir Nail Bar_Banner Sticker_INT30.eps,2024-03-28,0 days 00:18:57,2721.0,90.7,75.69724409,2259.32432,0.16967132671811827,"Intermediate White 30""",0.397074467,Roland,18.95,6.230000001000954,Thursday,461.67567999999983
OBA_CAMM-Cows_HPW54.eps,2024-06-13,0 days 00:14:58,4493.0,83.19,53.19448819,2565.147123,0.429079206988649,"High Performance White 54""",1.151709379,Roland,14.966666666666667,20.516000000513657,Thursday,1927.8528769999998
Ozark Commercial MGT Office Suite Sign 8.5x7 FINAL 4-9-25_HPW24.eps,2024-04-10,0 days 00:07:00,1136.0,47.33,17.33307087,300.4353457,0.735532266109155,"High Performance White 24""",0.7908523529,Roland,7.0,1.6500000002859023,Wednesday,835.5646543
P0_Bellerive CC_Wall_10.4.24_HPW60.eps,2024-10-18,0 days 00:25:01,5742.599999999999,95.71,65.70826772,2941.350409,0.48780162139100747,"High Performance White 60""",0.7768513377,Roland,25.016666666666666,15.867999999139531,Friday,2801.2495909999993
P1_Bellerive CC_Wall_10.4.24_HPW60.eps,2024-10-18,0 days 00:21:05,5742.599999999999,95.71,65.70826772,3695.158761,0.35653558301117955,"High Performance White 60""",1.093495642,Roland,21.083333333333332,28.06000001146958,Friday,2047.4412389999993
P1_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,2024-10-21,0 days 00:19:00,7829.0,144.97,114.9724409,2328.191929,0.7026195007025162,"High Performance White 54""",1.351434974,Roland,19.0,21.849999993299477,Monday,5500.8080709999995
P2_Bellerive CC_Wall_10.4.24_HPW60.eps,2024-10-18,0 days 00:19:04,5742.599999999999,95.71,65.70826772,3695.158761,0.35653558301117955,"High Performance White 60""",1.161887832,Roland,19.066666666666666,29.815000011903443,Friday,2047.4412389999993
P2_Commerce Ferguson Perf Coming soon 10 16 24_HPW54.eps,2024-10-21,0 days 00:28:04,7895.0,146.21,116.2082677,5460.141536,0.3084051252691577,"High Performance White 54""",1.24232384,Roland,28.066666666666666,47.105999999632076,Monday,2434.858464
