" Pring Log -
  Printer","------------------------------------------------------------------
File Name",Date,Total Print Time,Area of Print (in),Total Print Lenght,Material,
Roland,Melanie's mug_r2p_INT54.eps,08/12/2024,0:08:04,1427,70.67,"Intermediate White 54""",
HP,Cushman_Wake_Recycle_Easil_signs_8_9_24_UFS~2,08/09/2024,0:08:06,1272,26.5,Ultra Foam Sheet 4' x 8',
HP,The_Well_Church_Exterior_signs_7_30_24_ALMS3,08/09/2024,,4608,96,Aluminum 3mm acm 4' x 8' sheet,
Roland,BUBBY_R2P_INT30.eps,08/09/2024,0:06:58,1801,37.71,"Intermediate White 30""",
Roland,2024  CrossCounty and Track and Field  Decals Final  8-6-24_HPW54.eps,08/08/2024,0:21:59,4650,94.13,"High Performance White 54""",
Roland,34x165 banner New Kids Program 8-22-23_replacement of date_INT30.eps,08/08/2024,0:05:03,983,38.71,"Intermediate White 30""",
HP,McCarthy_STOP_ALMS3,08/08/2024,0:21:11,4617.6,96,Aluminum 3mm acm 4' x 8' sheet,
HP,McCarthy_CPO_ALMS3,08/08/2024,0:12:21,2308.8,48.1,Aluminum 3mm acm 4' x 8' sheet,
Roland,Doll KUV lOGOS 8 8 24_HPW54.eps,08/08/2024,0:03:59,1436,38.88,"High Performance White 54""",
Roland,Welcome Banner  MACKE  NEW  8-6-24_BAN63.eps,08/08/2024,0:25:01,5634,128.01,"Banner 63""",
HP,Capalaco_Parking_signs_08.08.24_p2_ALMR~1,08/08/2024,0:10:25,537,17.9,Reflective Aluminum 4' x 8' sheet,
Roland,9 - Square 18x24 Sample Sign NEW   7-6-2021_HPW54.eps,08/08/2024,0:44:59,12286,248.34,"High Performance White 54""",
Roland,Integrated Zumwalt RYU Only decals 8 7 24_HPW54.eps,08/08/2024,0:25:59,6336,134.68,"High Performance White 54""",
HP,Capalaco_Parking_signs_08.08.24_p1_ALMR,08/08/2024,0:11:24,429.6,17.9,Reflective Aluminum 4' x 8' sheet,
Roland,SBN Clover Sticker_RFVW30.eps,08/08/2024,0:10:03,1979,69.82,"Reflective White Vinyl 30""",
HP,NAIC4_Various_Set_#2-06__8-1-24_CORPLS~2,08/07/2024,0:14:12,3204,80.1,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#2-04__8-1-24_CORPLS~1,08/07/2024,0:14:19,3204,80.1,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#2-05__8-1-24_CORPLS~2,08/07/2024,0:11:13,3204,80.1,Corragated Plastic 4' x 8' sheet,
Roland,Clear-Border_clear vinyl.eps,08/07/2024,0:12:57,3455,175.08,,
Roland,Drops Print Clear_Clear Vinyl.eps,08/07/2024,0:09:00,2077,75.58,,
Roland,Stripes_HPW54.eps,08/07/2024,0:06:04,2219,42.31,"High Performance White 54""",
Roland,SSM Blue Pantone 281 v2_DN48.eps,08/07/2024,0:31:04,7516,163.39,"Day Night 48""",
HP,NAIC4_Various_Set_#1-06__8-1-24_CORPLS~1,08/06/2024,0:11:24,3204,80.1,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#2-03__8-1-24_CORPLS~2,08/06/2024,0:15:55,3204,80.1,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#2-02__8-1-24_CORPLS~2,08/06/2024,0:15:54,3204,80.1,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#1-03__8-1-24_CORPLS,08/06/2024,0:14:14,3200,80,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#1-05__8-1-24_CORPLS~2,08/06/2024,0:11:12,3204,80.1,Corragated Plastic 4' x 8' sheet,
Roland,Covenant Men Womem Signs 8 6 24_HPW54.eps,08/06/2024,0:05:59,2144,41.74,"High Performance White 54""",
HP,NAIC4_Various_Set_#2-01__8-1-24_CORPLS,08/06/2024,0:12:36,3200,80,Corragated Plastic 4' x 8' sheet,
Roland,Integrated Facilities Fort Zumwalt RTU # 8 6 24_HPW54.eps,08/06/2024,0:20:59,4427,85.96,"High Performance White 54""",
HP,NAIC4_Various_Set_#1-07__8-1-24_CORPLS~2,08/06/2024,0:14:38,3204,80.1,Corragated Plastic 4' x 8' sheet,
Roland,Covenant wall signs 8 5 24_HPW54.eps,08/06/2024,0:24:59,5397,104.68,"High Performance White 54""",
HP,NAIC4_Various_Set_#1-04__8-1-24_CORPLS~2,08/06/2024,0:14:23,3204,80.1,Corragated Plastic 4' x 8' sheet,
Roland,JE Foster FCI Large wall logo 8 5 24_HPW54.eps,08/06/2024,0:29:58,5693,161.38,"High Performance White 54""",
Roland,JE Foster Large Wall logo graphic 8 5 24_HPW36.eps,08/06/2024,0:26:57,4117,137.24,"High Performance White 36""",
HP,NAIC4_Various_Set_#1-02__8-1-24_CORPLS,08/06/2024,0:14:19,3200,80,Corragated Plastic 4' x 8' sheet,
HP,NAIC4_Various_Set_#1__8-1-24_CORPLS-01,08/06/2024,0:14:18,3200,80,Corragated Plastic 4' x 8' sheet,
Roland,Home Plate Decal 8-1-24_HTV54.eps,08/06/2024,0:05:58,574,43.26,High Tack Vinyle,
Roland,Bommarito 29 wide logo 8 2 24.eps,08/05/2024,0:09:03,2421,79.78,,
Roland,Commecial Development Priv Prop sign 7 30 24_p2_RFVW48.eps,08/05/2024,0:09:02,2187,56.21,"Reflective White Vinyl 48""",
Roland,Assumption Golf Tour 3x8 banner  2024  8-5-24_BAN38.eps,08/05/2024,0:20:00,4610,128.01,"Banner 38""",
HP,Assumption_Golf_Tour_18x24_sponsors_signs_8-5-24_CORPLS,08/05/2024,0:13:21,2592,54,Corragated Plastic 4' x 8' sheet,
HP,Cozad_4x6_2730_St_Peters_7_30_24_ALMS6,08/05/2024,0:18:13,3456,72,Aluminum 6mm acm 4' x 8' sheet,
HP,Cozad_4x4_2956_Dougherty_Ferry_rd_7_30_24_ALMS6,08/05/2024,0:12:36,2304,48,Aluminum 6mm acm 4' x 8' sheet,
HP,Cozad_4x6_6004_Welddon_Springs__7_30_24_ALMS6,08/05/2024,0:15:16,3456,72,Aluminum 6mm acm 4' x 8' sheet,
Roland,Commecial Development Priv Prop sign 7 30 24_RFVW48.eps,08/05/2024,0:20:59,4195,100.40,"Reflective White Vinyl 48""",
HP,GJ_Grewe_no_smoke_15_ft_8_2_24_ALM1218,08/05/2024,0:07:22,432,24,Aluminum 12 x 18 sheets,
Roland,Clayco Tilt Up Stickers Need 200  8-2-24_INT30.eps,08/05/2024,0:08:56,1595,57.24,"Intermediate White 30""",
HP,Cushman_Wake_Citi_Recycle_Signs_7_31_24_UFS,08/05/2024,0:08:09,1552.3,36.1,Ultra Foam Sheet 4' x 8',
Roland,Miss Kims Dance  8 2 24.eps,08/05/2024,0:26:56,23491,169.00,,
Roland,kamala hawk tuah 2024.eps,08/02/2024,0:06:59,1244,49.08,,
Roland,KUMC Decal August 31st  7-31-24.eps,07/31/2024,0:06:56,1340,51.88,,
Roland,15.5625x2.5 insert panels 7-30- 2.eps,07/31/2024,0:04:59,677,40.43,,
Roland,15.5625x2.5 insert panels 7-30-24.eps,07/31/2024,0:07:01,1105,51.47,,
Roland,American Eagle izuzu reflective logo #106 7 23 24.eps,07/31/2024,0:25:01,4720,119.46,,
Roland,Mahn Truck Doors NEW  7-30-24.eps,07/31/2024,0:26:03,4658,205.50,,
Roland,CMA Wildhorse 7-25-24.eps,07/30/2024,0:26:59,6225,136.89,,
Roland,Syberg Twisted Tavern 8x3 coming soon 7 30 24.eps,07/30/2024,0:59:59,32084,327.34,,
Roland,Boardwalk F650 Logos 7 30 24.eps,07/30/2024,0:09:04,1674,76.40,,
Roland,Warning Decal RUSH 7-30-24.eps,07/30/2024,0:04:57,656,39.31,,
Roland,FACP 6x15 Decal 7-25-24.eps,07/29/2024,0:06:00,1246,46.67,,
Roland,Friendship Vill Versa at Home 7 23 24.eps,07/29/2024,0:13:57,1525,93.93,,
Roland,Window-Perf_Redo.eps,07/29/2024,0:30:58,7425,135.00,,
Roland,Bommarito PC238 lc Loader 7 25 24.eps,07/26/2024,0:39:59,6698,160.49,,
HP,Move-In_Signs_Various_7-23-24_P4_CORPLS,07/25/2024,0:14:57,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
HP,Move-In_Signs_Various_7-23-24_P5_CORPLS,07/25/2024,0:15:06,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
Roland,Santa Jeep - IJ180-CV3 - P2_HPW54.eps,07/25/2024,0:32:59,5819,162.07,"High Performance White 54""",
Roland,Santa Jeep - IJ180-CV3 - P3_HPW54.eps,07/25/2024,0:19:03,4466,101.54,"High Performance White 54""",
HP,Move-In_Signs_Various_7-23-24_-_2x__P7_CORPLS~1,07/25/2024,0:24:47,6912,144,Corragated Plastic 4' x 8' sheet,
HP,Move-In_Signs_Various_7-23-24_P1_CORPLS,07/25/2024,0:16:20,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
HP,Move-In_Signs_Various_7-23-24_P2_CORPLS,07/25/2024,0:18:00,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
HP,Move-In_Signs_Various_-_2x_-_7-23-24_P8_CORPLS,07/25/2024,0:32:55,6921.6,144.2,Corragated Plastic 4' x 8' sheet,
HP,Move-In_Signs__ADD_ON__Arrows__7-23-24_CORPLS,07/25/2024,0:14:25,3155.82,70.6,Corragated Plastic 4' x 8' sheet,
HP,Motorcycles_and_more_various_coro_signs__7-24-24_CORPLS,07/25/2024,0:16:23,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
HP,Move-In Signs Various 7-23-24_P9_&_Motorcycles and more various coro signs  7-24-24_CORPLS,07/25/2024,0:14:57,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
HP,Move-In_Signs_Various_7-23-24_P6_CORPLS~1,07/25/2024,0:12:29,3456,72,Corragated Plastic 4' x 8' sheet,
Roland,Santa Jeep - Clear-Vinyl.eps,07/25/2024,0:11:02,2865,60.82,,
Roland,DUDE 2 x 1.5_HTV54.eps,07/25/2024,0:29:00,5899,113.21,High Tack Vinyle,
Roland,Beyond Storage repaired copy 7 24 24_HPW36.eps,07/25/2024,0:14:02,2641,81.76,"High Performance White 36""",
HP,Move-In_Signs_Various_7-23-24_P3_CORPLS,07/25/2024,0:15:28,4603.2,95.9,Corragated Plastic 4' x 8' sheet,
Roland,DUDE 2 x 1.5_p2_HTV54.eps,07/25/2024,0:06:57,1888,36.22,High Tack Vinyle,
Roland,Paws Plus  New Mags Lola  Need 2 7-24-24_MAG24.eps,07/25/2024,0:13:04,2467,104.92,"Magnet 24""",
Roland,Santa Jeep - IJ180-CV3 - P1_HPW54.eps,07/25/2024,0:29:00,7997,160.75,"High Performance White 54""",
Roland,Beyond Storage repaired copy 7 24 24_HPW54.eps,07/25/2024,0:05:59,2073,40.39,"High Performance White 54""",
Roland,Window-Perf_PERF54.eps,07/25/2024,0:37:59,5497,134.39,"Perforated 54""",
Roland,Alpine Urban 5x3 banner 7 23 24_BAN63.eps,07/24/2024,0:10:01,4027,66.01,"Banner 63""",
Roland,1 up 9 Square 18x24 Sign New Need 10 7.24 2024_HPW24.eps,07/24/2024,0:43:01,7271,377.98,"High Performance White 24""",
Roland,American Eagle IZUZU #106 DOORS 7 23 24_HPW36.eps,07/24/2024,0:09:59,2407,73.97,"High Performance White 36""",
Roland,American Eagle izuzu reflective logo #106 7 23 24_RFVW48.eps,07/24/2024,0:21:56,4720,119.46,"Reflective White Vinyl 48""",
Roland,Vehicle Sticker 5in Dia  FINAL  Need 50  7-23-24_WSC54.eps,07/24/2024,0:10:05,3226,64.71,,
Roland,Friendship Vill Versa at Home 7 23 24_HPW36.eps,07/24/2024,0:08:59,1957,61.93,"High Performance White 36""",
HP,10x12 Private Property Need 9 7-22-24 & nativeplantsign need 3 10.5x6  7-22-24_ALMS08,07/23/2024,0:10:01,1299.6,36.1,Aluminum .08 4' x 8' sheet,
Roland,Safety Comm Cheyenne CYS 17 need 50 and CYS 18 Need 50 7-23-24_INT54.eps,07/23/2024,0:08:58,2400,47.32,"Intermediate White 54""",
HP,EMS_7x7-Print_ALMS3,07/23/2024,0:18:12,4608,96,Aluminum 3mm acm 4' x 8' sheet,
HP,Bethesda_12_x_18_oakwood_310_7_20_24_ALMR,07/23/2024,0:08:53,216,12,Reflective Aluminum 4' x 8' sheet,
HP,30x30 Road Info Sign 7-16-24_P2_&_DNI Twin Chimneys Bather Bool Signs 7 17 24_ALMS08,07/22/2024,0:14:16,2100,50,Aluminum .08 4' x 8' sheet,
HP,Neichter_8x4_lots_for_sale_11_20_24_ALMS6,07/22/2024,0:42:01,9216,192,Aluminum 6mm acm 4' x 8' sheet,
HP,20x14_Pool_Capacity_need_20_7-19-24_P2_ALMS3,07/22/2024,0:10:03,2242.8,80.1,Aluminum 3mm acm 4' x 8' sheet,
HP,6x24_Call_Sharon_Bouse_Rider_7-22-24_CORPL1824,07/22/2024,0:03:06,433.8,24.1,"Corragated Plastic 18"" x 24"" sheet",
HP,20x14_Pool_Capacity_need_20_7-19-24_ALMS3,07/22/2024,0:17:15,3364.2,80.1,Aluminum 3mm acm 4' x 8' sheet,
HP,Hillbilly_License_Plate_6x12_Need_2_7-22-24_ALMS04,07/22/2024,0:05:55,145.2,12.1,Aluminum .04 4' x 8' sheet,
HP,Bolden_Coworking_arch_sign_7_9_24_ALMS6,07/22/2024,0:20:18,4608,96,Aluminum 6mm acm 4' x 8' sheet,
HP,2x3_NEW_Smoke_and_Vape_Shop__7-22-24_CORPL23,07/22/2024,0:06:22,864,24,Corragated Plastic 2' x 3' sheet,
Roland,Roberts Electricoval mag 7 20 24_MAG24.eps,07/22/2024,0:07:00,1296,54.00,"Magnet 24""",
HP,Eric_Westacott_18x24_golf_Sponsors_7-22-24_P1_CORPLS,07/22/2024,0:08:59,1728,48,Corragated Plastic 4' x 8' sheet,
HP,Eric_Westacott_18x24_golf_Sponsors_7-22-24_P2_CORPLS,07/22/2024,0:04:19,864,48,Corragated Plastic 4' x 8' sheet,
HP,4x6 Majeed Address Shop Sign 7-22-24 & 6x24 Call Sharon Bouse Rider 7-22-24_CORPLS,07/22/2024,0:17:24,4320,90,Corragated Plastic 4' x 8' sheet,
HP,Pixel_Edge_old_fashion_Purina_photos_7_17_24_P2_PVC6,07/19/2024,0:04:52,4608,96,PVC 6mm 4' x 8' sheet,
HP,Pixel_Edge_old_fashion_Purina_photos_7_17_24_P3_PVC6,07/19/2024,0:14:12,4608,96,PVC 6mm 4' x 8' sheet,
HP,MO_MUDDERS_MILES_2024_P1_CORPLS,07/19/2024,0:17:18,4334.68,95.9,Corragated Plastic 4' x 8' sheet,
HP,MO_MUDDERS_MILES_2024_P4_CORPLS,07/19/2024,0:01:36,142.38,22.6,Corragated Plastic 4' x 8' sheet,
HP,MO_MUDDERS_MILES_2024_P3_CORPLS,07/19/2024,0:02:38,142.38,22.6,Corragated Plastic 4' x 8' sheet,
HP,MO_MUDDERS_MILES_2024_P2_CORPLS~1,07/19/2024,0:04:22,851.76,67.6,Corragated Plastic 4' x 8' sheet,
Roland,Beyond Storage Promasters 7 18 24_HPW54.eps,07/19/2024,1:28:59,21137,421.22,"High Performance White 54""",
HP,2x3_STEM_Block_signs__7-18-24_UFS,07/19/2024,0:09:59,3451.2,71.9,Ultra Foam Sheet 4' x 8',
HP,30x30_Road_Info_Sign_7-16-24_ALMS08,07/19/2024,0:16:39,3249,90,Aluminum .08 4' x 8' sheet,
Roland,Pixel Edge old fashion Purina photos 7 17 24_P4_HPW54.eps,07/19/2024,0:14:55,4505,83.78,"High Performance White 54""",
Roland,Cardinal Birds Final 8in tall 10-23-23_HPW54.eps,07/19/2024,0:05:02,1415,39.97,"High Performance White 54""",
Roland,STACK -  SafetyCommitteeSticker  PRINT  Need 50  7-19-25_INT54.eps,07/19/2024,0:05:02,2006,39.44,"Intermediate White 54""",
Roland,Wright Construct Wall Sign 7 8 24_P2_HPW60.eps,07/19/2024,0:21:58,4611,86.99,"High Performance White 60""",
HP,Pixel_Edge_old_fashion_Purina_photos_7_17_24_P1_PVC6,07/19/2024,0:06:24,4608,96,PVC 6mm 4' x 8' sheet,
HP,Renquest_6x4_map_sign_7_2_24_ALMS3,07/18/2024,0:08:20,430.2,23.9,Aluminum 3mm acm 4' x 8' sheet,
Roland,Midwest Roofing & Const yard signs 11 12 24_MAG24.eps,07/18/2024,0:07:57,1243,54.49,"Magnet 24""",
Roland,Mags 12x24 7-16-24_p2_MAG24.eps,07/18/2024,0:15:02,2092,90.00,"Magnet 24""",
HP,Midwest Roofing & Const yard signs 11 12 24_P2 & Museum Closed Sign  18x24 DF  7-17-24_CORPLS,07/18/2024,0:17:38,4320,90,Corragated Plastic 4' x 8' sheet,
HP,Midwest Roofing & Const yard signs 11 12 24_CORPLS,07/18/2024,1:06:37,8640,180,Corragated Plastic 4' x 8' sheet,
Roland,12x18 FACP Decal 7-17-24_RFVW30.eps,07/18/2024,0:04:59,836,43.64,"Reflective White Vinyl 30""",
HP,Midwest Roofing & Const yard signs 11 12 24_P2_Back & Museum Closed Sign  18x24 DF  7-17-24_CORPLS,07/18/2024,0:16:38,4320,90,Corragated Plastic 4' x 8' sheet,
HP,48x12_Pallet_sign_7-17-24_ALMS6,07/18/2024,0:21:11,4608,96,Aluminum 6mm acm 4' x 8' sheet,
Roland,Mags 12x24 7-16-24_MAG24.eps,07/18/2024,0:10:58,1534,66.00,"Magnet 24""",
HP,48x12 Pallet sign 7-17-24_ALMS6 & Renquest 6x4 map sign 7 2 24_ALMS6,07/18/2024,0:19:30,4608,96,Aluminum 6mm acm 4' x 8' sheet,
Roland,Stack Avondale PHX_p1_INT30.eps,07/17/2024,0:24:01,3195,122.96,"Intermediate White 30""",
Roland,5x for 4000 - F'Caufe and Food Stickers 2x2 Round 164 of each type - 7-16-24_HPW54.eps,07/17/2024,3:06:06,42092,810.75,"High Performance White 54""",
Roland,Stack Avondale PHX_p2_INT30.eps,07/17/2024,0:16:02,3269,125.79,"Intermediate White 30""",
Roland,Roll up banner color test 1.eps,07/16/2024,0:02:03,258,32.43,,
Roland,Mo American WaterDanger Decal 7 14 24_RFVW30.eps,07/16/2024,0:11:01,1893,74.21,"Reflective White Vinyl 30""",
Roland,Color Matching Covenant Presbeterian Church_HPW30.eps,07/16/2024,0:03:01,542,34.00,"High Performance White 30""",
Roland,Roll up banner color test 2.eps,07/16/2024,0:03:01,600,32.47,,
Roland,shutterstock_513594751 [Converted].eps,07/16/2024,0:06:01,661,47.70,,
Roland,CYS17-100 NEW 7-15-24_INT30.eps,07/16/2024,0:06:59,1358,49.19,"Intermediate White 30""",
HP,2024_Forbes_24x36__Need_17_SF__7-15-24_P3_CORPLS,07/16/2024,0:14:43,4420.8,92.1,Corragated Plastic 4' x 8' sheet,
HP,2024_Forbes_24x36__Need_17_SF__7-15-24_P4_CORPL23,07/16/2024,0:08:27,867.6,24.1,Corragated Plastic 2' x 3' sheet,
Roland,CYS19-500 NEW 7-15-24_INT30.eps,07/16/2024,0:14:04,3224,116.83,"Intermediate White 30""",
Roland,CYS18-300 NEW 7-15-24_INT30.eps,07/16/2024,0:09:04,2326,84.29,"Intermediate White 30""",
Roland,Qdoba Retractable Banner with face Avocado 7-9-24_BAN38.eps,07/16/2024,2:11:58,19429,636.73,"Banner 38""",
Roland,Covenant Sample plaque 7 16 24_HPW30.eps,07/16/2024,0:13:07,2187,125.65,"High Performance White 30""",
HP,2024_Forbes_24x36__Need_17_SF__7-15-24_CORPLS,07/16/2024,0:33:08,9225.6,192.2,Corragated Plastic 4' x 8' sheet,
HP,2024_Forbes_24x36__Need_17_SF__7-15-24_P2_CORPLS,07/16/2024,0:14:58,4612.8,96.1,Corragated Plastic 4' x 8' sheet,
Roland,Incentive Concepts logo_ADDITIONAL_HPW36.eps,07/15/2024,0:26:59,4074,125.04,"High Performance White 36""",
HP,Point_Debonaire_Dock_Sign_ALMS3~1,07/15/2024,0:02:20,4612.8,0,Aluminum 3mm acm 4' x 8' sheet,
HP,24x24_NAIC1_staging_area_7-15-24_CORPL23,07/15/2024,0:05:17,576,24,Corragated Plastic 2' x 3' sheet,
HP,2024_HSSU_No_Smoking_12x18_Need_48__7-10-24_ALMS063,07/15/2024,0:44:53,8640,180,Aluminum .063,
HP,2024_HSSU_No_Smoking_12x18_Need_48__7-10-24_P2_ALMS063,07/15/2024,0:14:53,1732.8,36.1,Aluminum .063,
Roland,Gershman Commercial Sole Print_door vinyl 11_HPW24.eps,07/15/2024,0:08:58,1135,61.24,"High Performance White 24""",
Roland,All Clings Summer 48 total need 6 of each - 288  7-15-24_EDW54.eps,07/15/2024,1:07:02,15592,307.75,"Ez Dot (White) 54""",
HP,Sybegs_Ofallon_directional_coros_7_10_24_P2_CORPLS~1,07/12/2024,,1200,60,Corragated Plastic 4' x 8' sheet,
Roland,Lexus Cortesy Car Decals 3 8 23_INT54.eps,07/12/2024,0:43:59,7485,158.46,"Intermediate White 54""",
HP,9.25x5 SF color blocks for discount markers on 4x4 sign NEW ORANGE 7-11-24_PVC3,07/12/2024,0:05:45,414,45,PVC 3mm 4' x 8' sheet,
Roland,Sybergs Trivia Night Banner 7 10 24_BAN38.eps,07/12/2024,0:39:57,8227,256.97,"Banner 38""",
Roland,Flat Roof mag 7 9 24_MAG24.eps,07/12/2024,0:07:00,1213,54.03,"Magnet 24""",
HP,FISH_US_Territory_Map_7_11_24_UFS,07/12/2024,0:08:09,1296,27,Ultra Foam Sheet 4' x 8',
HP,Owen_Grad_Sign_2024_CORPL1824~1,07/11/2024,0:15:20,864,24,"Corragated Plastic 18"" x 24"" sheet",
HP,Mo_Mudd__Minor_tuff_map_7_11_24_CORPLS~1,07/11/2024,0:07:19,1203,40.1,Corragated Plastic 4' x 8' sheet,
HP,Integrate_IC_SWPPP_Signs_7_11_24_ALMS6,07/11/2024,0:18:13,3460.8,72,Aluminum 6mm acm 4' x 8' sheet,
HP,AJ_4x10_trailer_signs_ALMS3-4X10,07/11/2024,2:22:43,11520,96,Aluminum 3mm acm 4' x 8' sheet,
Roland,English Sweep QR_HPW24.eps,07/11/2024,0:05:57,972,44.21,"High Performance White 24""",
HP,Sybegs_Ofallon_directional_coros_7_10_24_P1_CORPLS,07/11/2024,,2483.1,80.1,Corragated Plastic 4' x 8' sheet,
HP,missions_week_sign_18x24_DF_Need_1__7-10-24_CORPL1824,07/10/2024,0:11:05,432,18,"Corragated Plastic 18"" x 24"" sheet",
Roland,A Storage Inn Tent banner 7 9 24_BAN38.eps,07/10/2024,0:09:00,7698,104.01,"Banner 38""",
Roland,Rhodey diecut door decals 7 9 24_HPW54.eps,07/10/2024,0:26:00,5541,107.76,"High Performance White 54""",
Roland,12x20 Mag CDS  FINAL NEW  7-9-24_MAG24.eps,07/10/2024,0:11:03,1719,79.97,"Magnet 24""",
Roland,2x12 Central yard Decal Need 50  7-9-24_HPW24.eps,07/10/2024,0:16:00,2274,105.21,"High Performance White 24""",
Roland,5 x 1.25 McCarthy Bar (510 on each print)_7 9 24_HTV54.eps,07/10/2024,0:49:56,9713,210.07,High Tack Vinyle,
Roland,Spark Daddy NEW DOOR Logo  1-31-24_HPW30.eps,07/10/2024,0:06:59,1582,55.69,"High Performance White 30""",
Roland,exterior window logos_reprint magic_HPW24.eps,07/09/2024,0:26:58,4072,196.78,"High Performance White 24""",
Roland,exterior window logos_HPW54.eps,07/09/2024,0:47:01,9424,193.82,"High Performance White 54""",
Roland,Wright Construct Wall Sign 7 8 24_HPW60.eps,07/09/2024,0:59:01,10761,202.99,"High Performance White 60""",
Roland,interior panel vinyl_HPW54.eps,07/09/2024,0:45:58,8637,167.43,"High Performance White 54""",
Roland,WWT - 8x20 EE Decals 2 of each 7-8-24_&_St Joseph Academy Tennis_HPW54.eps,07/09/2024,0:12:03,3387,65.15,"High Performance White 54""",
Roland,JE Foster Grey Lock Box 50% scale 7 9 24_HPW60.eps,07/09/2024,0:52:56,9736,171.94,"High Performance White 60""",
Roland,prooutdoor Good logo 5-8-24_HPW24.eps,07/08/2024,0:09:58,1347,85.51,"High Performance White 24""",
Roland,Atech Ernst Concrete Fairborn OH_HPW36.eps,07/05/2024,0:18:57,3749,122.26,"High Performance White 36""",
Roland,Incentive Concepts_Remake Letters_HPW48.eps,07/03/2024,0:10:56,2553,70.94,"Water Damaged HP White 54"" to 48""",
HP,pdf_yard_sign_CORPL1824,07/03/2024,0:18:31,432,24,"Corragated Plastic 18"" x 24"" sheet",
Roland,5x_Bridgeton_Sign Final_HPW54.eps,07/03/2024,1:42:57,25375,539.09,"High Performance White 54""",
Roland,Terra Cotta Lofts Plaques 45x65 NEW  4-2-24_HPW24.eps,07/02/2024,0:05:58,903,45.07,"High Performance White 24""",
Roland,2024 7TH GRADE Girls Softball 7-2-24_BAN38.eps,07/02/2024,0:15:04,3776,104.14,"Banner 38""",
Roland,2x2 Motorcycle Permit 25001-25400  7-2-24_HTV54.eps,07/02/2024,0:17:56,3719,71.71,High Tack Vinyle,
HP,Sidewalk_Closed_3_ALMR,07/02/2024,,288,12,Reflective Aluminum 4' x 8' sheet,
HP,Central_bank_Dazzle_N_Cash_7-2-24_PVC3,07/02/2024,0:06:15,432,24,PVC 3mm 4' x 8' sheet,
Roland,Trade Card Market_temp banner_BAN63.eps,07/02/2024,0:27:56,6402,128.01,"Banner 63""",
HP,cornerstone_realty_4x6_need_2_ALMS3,07/01/2024,0:33:16,6921.6,144,Aluminum 3mm acm 4' x 8' sheet,
HP,18x24__Exit_Entry_Only__6-28-24_ALM1824,07/01/2024,0:09:09,864,36,Aluminum 18 x 24 sheets,
Roland,Wash U all electric vehicle logo 7 1 24_HPW30.eps,07/01/2024,0:07:00,1368,51.78,"High Performance White 30""",
Roland,Door interior vinyl_HPW30.eps,07/01/2024,0:14:01,2542,107.68,"High Performance White 30""",
HP,2x3_Pick_up_Drop_off_6-28-24_ALMS3,07/01/2024,0:14:07,1728,36,Aluminum 3mm acm 4' x 8' sheet,
Roland,Wright Const Sign Project 7 1 24_P4_INT54.eps,07/01/2024,0:10:00,2501,67.51,"Intermediate White 54""",
HP,2x3_Insert_4th_of_july__7-1-24_CORPL23,07/01/2024,0:06:05,1728,48,Corragated Plastic 2' x 3' sheet,
Roland,AW Banner NEW 24x60  7-1-24_BAN63.eps,07/01/2024,0:15:00,5061,81.88,"Banner 63""",
HP,Stonegate_build_home_here_5_14_24_CORPL23,07/01/2024,,864,24,Corragated Plastic 2' x 3' sheet,
HP,a_frame_inserts_6_24_24_2Front_CORPLS~1,06/28/2024,0:03:35,1728,36,Corragated Plastic 4' x 8' sheet,
Roland,St louis final trailer 6 28 24 5 28 24_HPW54.eps,06/28/2024,0:18:03,4456,88.31,"High Performance White 54""",
HP,a_frame_inserts_6_24_24_2Back_CORPLS,06/28/2024,0:05:48,1728,36,Corragated Plastic 4' x 8' sheet,
HP,a_frame_inserts_6_24_24_1Back_CORPLS,06/28/2024,0:06:23,3456,72,Corragated Plastic 4' x 8' sheet,
HP,Field_Office_CORPLS~1,06/28/2024,0:04:39,576,24,Corragated Plastic 4' x 8' sheet,
HP,a_frame_inserts_6_24_24_1Front_CORPLS~1,06/28/2024,0:39:40,3456,72,Corragated Plastic 4' x 8' sheet,
HP,St.Louis_Design_Build_back_6_28_24_ALMS3,06/28/2024,,1728,36,Aluminum 3mm acm 4' x 8' sheet,
HP,18X24_BLOCK_PARTY_SIGN__6-28-24_CORPL1824,06/28/2024,0:06:56,432,18,"Corragated Plastic 18"" x 24"" sheet",
HP,St.Louis Design Build & Family Golf a frame inserts 6 28 24_ALMS3,06/28/2024,,3460.8,72,Aluminum 3mm acm 4' x 8' sheet,
