Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Esitmated Material Length (in),Area (in),Extra for Lead in,Print Length,Print Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
New Job(A),XR-640#2,Meyer  Common Cents  F150 Logos 2 23 25_HPW24_LAMI.eps,6612346,517.87,938.03,3M™ IJ180Cv3,1,950.03,517.87,,,1/24/2025 9:39,,,,,,0:00:00,,20.39,20.39,0,,20.38858268,415.6943036,,,,,,,,0,0
Print End,XR-640#2,Best Love additional perfs_PERF54.eps,14358530,990.59,2260.6,Generic Vinyl II HD,1,1123.295,2272.6,1.914:2.628:2.276:6.162:7.549:4.215:5.539,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/23/2025 13:59,1/23/2025 14:22,,0:23:00,,39.00,89.47,0,,89.47244094,3489.389971,1.914,2.628,2.276,6.162,7.549,4.215,5.539,30.283,1.249717583
RIP End,XR-640#2,Best Love additional perfs_PERF54.eps,14358530,990.59,2260.6,Generic Vinyl II HD,1,1123.295,2272.6,1.914:2.628:2.276:6.162:7.549:4.215:5.539,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/23/2025 13:50,1/23/2025 13:55,,,,0:00:00,,39.00,89.47,0,,89.47244094,3489.389971,1.914,2.628,2.276,6.162,7.549,4.215,5.539,30.283,1.249717583
RIP End,XR-640#2,Best Love additional perfs_PERF54.eps,14358530,990.59,2260.6,Generic Vinyl II HD,1,1123.295,2272.6,1.914:2.628:2.276:6.162:7.549:4.215:5.539,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/23 13:26:00,2025/01/23 13:32:00,,,,0:00:00,,39.00,89.47,0,,89.47244094,3489.389971,1.914,2.628,2.276,6.162,7.549,4.215,5.539,30.283,1.249717583
Print End,XR-640#2,P2_Best Love additional perfs_PERF54.eps,20320366,889,2254.25,Generic Vinyl II HD,1,1072.5,2266.25,1.755:1.843:1.508:5.896:6.147:3.612:4.371,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/23/2025 13:21,1/23/2025 13:26,1/23/2025 13:21,1/23/2025 13:48,,0:27:00,,35.00,89.22,0,,89.22244094,3122.785433,1.755,1.843,1.508,5.896,6.147,3.612,4.371,25.132,1.15890383
New Job(A),XR-640#2,Best Love additional perfs_PERF54.eps,14358530,990.59,2260.6,3M™ IJ180Cv3,1,990.59,2272.6,,,1/23/2025 13:06,,,,,,0:00:00,,39.00,89.47,0,,89.47244094,3489.389971,,,,,,,,0,0
New Job(A),XR-640#2,P2_Best Love additional perfs_PERF54.eps,20320366,889,2254.25,3M™ IJ180Cv3,1,889,2266.25,,,1/23/2025 13:06,,,,,,0:00:00,,35.00,89.22,0,,89.22244094,3122.785433,,,,,,,,0,0
Print End,XR-640#2,P2_Frontenac Square New Monu sign Vinyl 1 21 25_HPW60_LAMI.eps,3793994,468.48,338.31,3M™ IJ180Cv3,2,1030.32,350.31,0.533:1.221:0.113:0.028:0.910:0.742:0.487,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/23/2025 12:57,1/23/2025 12:58,1/23/2025 12:57,1/23/2025 13:05,,0:08:00,,18.44,13.79,0,,13.79173228,254.3760134,0.533,1.221,0.113,0.028,0.910,0.742,0.487,4.034,2.283611541
New Job(A),XR-640#2,P2_Frontenac Square New Monu sign Vinyl 1 21 25_HPW60_LAMI.eps,3793994,468.48,338.31,3M™ IJ180Cv3,1,468.48,350.31,,,1/23/2025 12:56,,,,,,0:00:00,,18.44,13.79,0,,13.79173228,254.3760134,,,,,,,,0,0
Print End,XR-640#2,Frontenac Square New Monu sign Vinyl 1 21 25_HPW60.eps,6308478,1485.9,3540.12,3M™ IJ180Cv3,2,1490.95,7108.24,10.768:30.068:5.458:0.558:19.729:15.018:10.173,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/23/2025 9:38,1/23/2025 9:49,1/23/2025 9:38,1/23/2025 11:07,,1:29:00,,58.50,279.85,0,,279.8519685,16371.34016,10.768,30.068,5.458,0.558,19.729,15.018,10.173,91.772,0.807213574
New Job(A),XR-640#2,Frontenac Square New Monu sign Vinyl 1 21 25_HPW60.eps,6308478,1485.9,3540.12,3M™ IJ180Cv3,1,1485.9,3552.12,,,1/23/2025 9:37,,,,,,0:00:00,,58.50,139.85,0,,139.8472441,8181.06378,,,,,,,,0,0
Print End,XR-640#2,Gateways Adolescent Building 300 Decals 2.5''  Need 300 1-22-25_INT30.eps,21897494,659.69,2405.94,Generic Vinyl II HD,1,696.345,2417.94,0.577:2.222:2.151:0.604:3.109:1.587:2.605,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/23/2025 8:17,1/23/2025 8:20,1/23/2025 8:17,1/23/2025 8:38,,0:21:00,,25.97,95.19,0,,95.19448819,2472.395745,0.577,2.222,2.151,0.604,3.109,1.587,2.605,12.855,0.748715089
New Job(A),XR-640#2,Gateways Adolescent Building 300 Decals 2.5''  Need 300 1-22-25_INT30.eps,21897494,659.69,2405.94,3M™ IJ180Cv3,1,659.69,2417.94,,,1/22/2025 17:03,,,,,,0:00:00,,25.97,95.19,0,,95.19448819,2472.395745,,,,,,,,0,0
Print End,XR-640#2,4x18 Banner Enrolling  1-21-25_BAN63.eps,6272070,1270.35,5537.55,Generic Banner II,1,1413.67,5549.55,0.991:9.041:6.748:0.000:3.772:1.801:0.445,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/22/2025 14:55,1/22/2025 14:57,1/22/2025 14:55,1/22/2025 15:56,,1:01:00,,50.01,218.49,0,,218.4862205,10927.32166,0.991,9.041,6.748,0.000,3.772,1.801,0.445,22.798,0.3004315332
New Job(A),XR-640#2,4x18 Banner Enrolling  1-21-25_BAN63.eps,6272070,1270.35,5537.55,3M™ IJ180Cv3,1,1270.34,5549.55,,,1/22/2025 14:55,,,,,,0:00:00,,50.01,218.49,0,,218.4862205,10927.32166,,,,,,,,0,0
Print End,XR-640#2,Contech Chevy 2500 Sierra 2 21 25_HPW60_LAMI.eps,8138014,1479.55,3161.24,3M™ IJ180Cv3,1,1487.275,3173.24,0.731:2.403:1.466:2.444:3.296:1.858:3.268,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/22/2025 12:37,1/22/2025 12:46,1/22/2025 12:37,1/22/2025 13:20,,0:43:00,,58.25,124.93,0,,124.9307087,7277.21378,0.731,2.403,1.466,2.444,3.296,1.858,3.268,15.466,0.3060380068
New Job(A),XR-640#2,Contech Chevy 2500 Sierra 2 21 25_HPW60_LAMI.eps,8138014,1479.55,3161.24,3M™ IJ180Cv3,1,1479.55,3173.24,,,1/22/2025 12:37,,,,,,0:00:00,,58.25,124.93,0,,124.9307087,7277.21378,,,,,,,,0,0
New Job(A),XR-640#2,Contech Chevy 2500 Sierra 2 21 25_HPW60_LAMI.eps,8602706,1479.55,3161.24,3M™ IJ180Cv3,1,1479.55,3173.24,,,2025/01/22 12:37:00,,,,,,0:00:00,,58.25,124.93,0,,124.9307087,7277.21378,,,,,,,,0,0
Print End,XR-640#2,P16_Awareness Training Stickers_250 up_1-20-25_INT30.eps,165490962,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.362:0.230:0.181:0.064:0.490:0.425:0.180,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/22/2025 8:59,2025/01/22 9:09:00,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.362,0.230,0.181,0.064,0.490,0.425,0.180,1.932,0.2416962975
Print End,XR-640#2,P15_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174965806,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.508:0.442:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/22/2025 8:46,2025/01/22 8:56:00,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.508,0.442,0.188,2.011,0.2515793242
Print End,XR-640#2,P14_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174990378,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.508:0.442:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/22/2025 8:30,2025/01/22 8:40:00,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.508,0.442,0.188,2.011,0.2515793242
Print End,XR-640#2,P13_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174818474,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.507:0.442:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/22/2025 8:18,2025/01/22 8:27:00,,0:09:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.507,0.442,0.188,2.01,0.2514542226
Print End,XR-640#2,P12_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175351050,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.377:0.238:0.192:0.068:0.509:0.443:0.189,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/22/2025 8:05,2025/01/22 8:17:00,,0:12:00,,26.11,44.08,0,,44.08346457,1151.064385,0.377,0.238,0.192,0.068,0.509,0.443,0.189,2.016,0.2522048322
Print End,XR-640#2,P11_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175323094,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.377:0.238:0.192:0.068:0.509:0.443:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 15:20,2025/01/21 15:30:00,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.377,0.238,0.192,0.068,0.509,0.443,0.188,2.015,0.2520797306
Print End,XR-640#2,P10_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175343578,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.377:0.238:0.192:0.068:0.509:0.443:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 14:59,2025/01/21 15:09:00,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.377,0.238,0.192,0.068,0.509,0.443,0.188,2.015,0.2520797306
Print End,XR-640#2,P9_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175142530,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.509:0.443:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 14:30,2025/01/21 14:39:00,,0:09:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.509,0.443,0.188,2.013,0.2518295274
Print End,XR-640#2,P8_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175368010,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.567:1.057:0.017:0.549:0.037:0.054,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 14:19,2025/01/21 14:27:00,,0:08:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.567,1.057,0.017,0.549,0.037,0.054,2.286,0.2859822651
Print End,XR-640#2,P7_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185485506,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.586:1.100:0.018:0.572:0.039:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 14:10,2025/01/21 14:18:00,,0:08:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.586,1.100,0.018,0.572,0.039,0.057,2.377,0.297366511
RIP End,XR-640#2,P16_Awareness Training Stickers_250 up_1-20-25_INT30.eps,165490962,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.362:0.230:0.181:0.064:0.490:0.425:0.180,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 14:06:00,2025/01/21 14:08:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.362,0.230,0.181,0.064,0.490,0.425,0.180,1.932,0.2416962975
New Job(A),XR-640#2,P16_Awareness Training Stickers_250 up_1-20-25_INT30.eps,165490962,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 14:04,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P13_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174818474,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.507:0.442:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 14:03:00,2025/01/21 14:06:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.507,0.442,0.188,2.01,0.2514542226
RIP End,XR-640#2,P15_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174965806,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.508:0.442:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 14:02:00,2025/01/21 14:04:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.508,0.442,0.188,2.011,0.2515793242
New Job(A),XR-640#2,P15_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174965806,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 14:01,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P14_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174990378,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.508:0.442:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 14:01,1/21/2025 14:02,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.508,0.442,0.188,2.011,0.2515793242
New Job(A),XR-640#2,P14_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174990378,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 14:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
New Job(A),XR-640#2,P13_Awareness Training Stickers_250 up_1-20-25_INT30.eps,174818474,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 13:57,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
Print End,XR-640#2,P6_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185508778,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.586:1.100:0.018:0.572:0.039:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 13:57,2025/01/21 14:07:00,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.586,1.100,0.018,0.572,0.039,0.057,2.377,0.297366511
RIP End,XR-640#2,P12_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175351050,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.377:0.238:0.192:0.068:0.509:0.443:0.189,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:57,1/21/2025 14:01,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.377,0.238,0.192,0.068,0.509,0.443,0.189,2.016,0.2522048322
RIP End,XR-640#2,P11_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175323094,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.377:0.238:0.192:0.068:0.509:0.443:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:57,1/21/2025 13:59,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.377,0.238,0.192,0.068,0.509,0.443,0.188,2.015,0.2520797306
New Job(A),XR-640#2,P12_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175351050,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 13:56,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P10_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175343578,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.377:0.238:0.192:0.068:0.509:0.443:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 13:55:00,2025/01/21 13:57:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.377,0.238,0.192,0.068,0.509,0.443,0.188,2.015,0.2520797306
New Job(A),XR-640#2,P11_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175323094,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:49:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
New Job(A),XR-640#2,P10_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175343578,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:48:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P9_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175142530,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.376:0.237:0.192:0.068:0.509:0.443:0.188,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:48,1/21/2025 13:50,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.376,0.237,0.192,0.068,0.509,0.443,0.188,2.013,0.2518295274
New Job(A),XR-640#2,P9_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175142530,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:47:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
Print End,XR-640#2,P5_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185325902,663.22,1107.72,3M™ IJ180Cv3,1,692.11,1119.72,0.005:0.398:0.780:0.006:0.602:0.044:0.027,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 13:45,1/21/2025 13:55,,0:10:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.398,0.780,0.006,0.602,0.044,0.027,1.862,0.2329391853
RIP End,XR-640#2,P8_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175368010,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.567:1.057:0.017:0.549:0.037:0.054,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 13:35:00,2025/01/21 13:37:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.567,1.057,0.017,0.549,0.037,0.054,2.286,0.2859822651
Print End,XR-640#2,P4_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185877586,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.588:1.102:0.018:0.573:0.040:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 13:34,1/21/2025 13:43,,0:09:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.588,1.102,0.018,0.573,0.040,0.057,2.383,0.2981171206
New Job(A),XR-640#2,P8_Awareness Training Stickers_250 up_1-20-25_INT30.eps,175368010,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 13:27,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P7_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185485506,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.586:1.100:0.018:0.572:0.039:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:27,1/21/2025 13:29,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.586,1.100,0.018,0.572,0.039,0.057,2.377,0.297366511
New Job(A),XR-640#2,P7_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185485506,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 13:25,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P6_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185508778,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.586:1.100:0.018:0.572:0.039:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:25,1/21/2025 13:27,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.586,1.100,0.018,0.572,0.039,0.057,2.377,0.297366511
Print End,XR-640#2,P3_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185846154,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.588:1.102:0.018:0.573:0.040:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 13:25,2025/01/21 13:33:00,,0:08:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.588,1.102,0.018,0.573,0.040,0.057,2.383,0.2981171206
New Job(A),XR-640#2,P6_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185508778,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:15:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P5_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185325902,663.22,1107.72,3M™ IJ180Cv3,1,692.11,1119.72,0.005:0.398:0.780:0.006:0.602:0.044:0.027,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:15,1/21/2025 13:18,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.398,0.780,0.006,0.602,0.044,0.027,1.862,0.2329391853
Print End,XR-640#2,P2_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185871954,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.588:1.102:0.018:0.573:0.040:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/21/2025 13:15,2025/01/21 13:23:00,,0:08:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.588,1.102,0.018,0.573,0.040,0.057,2.383,0.2981171206
New Job(A),XR-640#2,P5_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185325902,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:04:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P3_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185846154,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.588:1.102:0.018:0.573:0.040:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 13:04:00,2025/01/21 13:07:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.588,1.102,0.018,0.573,0.040,0.057,2.383,0.2981171206
RIP End,XR-640#2,P4_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185877586,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.588:1.102:0.018:0.573:0.040:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/21/2025 13:04,1/21/2025 13:06,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.588,1.102,0.018,0.573,0.040,0.057,2.383,0.2981171206
New Job(A),XR-640#2,P4_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185877586,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:02:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
RIP End,XR-640#2,P2_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185871954,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.588:1.102:0.018:0.573:0.040:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 13:02:00,2025/01/21 13:04:00,,,,0:00:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.588,1.102,0.018,0.573,0.040,0.057,2.383,0.2981171206
New Job(A),XR-640#2,P3_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185846154,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 13:01:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
Print End,XR-640#2,P1_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185651034,663.22,1107.72,Generic Vinyl II HD,1,692.11,1119.72,0.005:0.587:1.102:0.018:0.573:0.039:0.057,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2025/01/21 13:00:00,2025/01/21 13:02:00,1/21/2025 13:00,1/21/2025 13:13,,0:13:00,,26.11,44.08,0,,44.08346457,1151.064385,0.005,0.587,1.102,0.018,0.573,0.039,0.057,2.381,0.2978669174
New Job(A),XR-640#2,P2_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185871954,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,2025/01/21 12:59:00,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
New Job(A),XR-640#2,P1_Awareness Training Stickers_250 up_1-20-25_INT30.eps,185651034,663.22,1107.72,3M™ IJ180Cv3,1,1119.72,663.22,,,1/21/2025 12:59,,,,,,0:00:00,,26.11,26.11,0,,26.11102362,681.7855546,,,,,,,,0,0
Print End,XR-640#2,Atech Landvatter_Label 1 20 25_HPW54_LAMI.eps,6880238,774.34,774.34,3M™ IJ180Cv3,1,1047.17,786.34,0.007:0.002:0.003:0.020:0.010:0.009:0.005,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,1/20/2025 15:23,1/20/2025 15:31,,0:08:00,,30.49,30.96,0,,30.95826772,943.7883868,0.007,0.002,0.003,0.020,0.010,0.009,0.005,0.056,0.008544288225
RIP End,XR-640#2,Atech Landvatter_Label 1 20 25_HPW54_LAMI.eps,6880238,774.34,774.34,3M™ IJ180Cv3,1,1047.17,786.34,0.007:0.002:0.003:0.020:0.010:0.009:0.005,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,1/20/2025 14:40,1/20/2025 14:46,,,,0:00:00,,30.49,30.96,0,,30.95826772,943.7883868,0.007,0.002,0.003,0.020,0.010,0.009,0.005,0.056,0.008544288225
