,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Country
21,A. Morin,Bolivia,797,2012,0.7,France,3.5,Bolivia,144,somewhat common,Average Amount,France
22,A. Morin,Peru,797,2012,0.63,France,3.75,Peru,144,somewhat common,Light Amount,France
23,Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,Peru,738,most common,Average Amount,United States of America
24,Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Peru,738,most common,Average Amount,United States of America
25,Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Fiji,4,extra rare,Light Amount,Fiji
26,Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Fiji,4,extra rare,High Amount,Fiji
27,Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Fiji,4,extra rare,High Amount,Fiji
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Fiji,4,extra rare,Average Amount,Fiji
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Ecuador,54,rare,Light Amount,Ecuador
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3.0,Ecuador,54,rare,Average Amount,Ecuador
31,Ah Cacao,Tabasco,316,2009,0.7,Mexico,3.0,Mexico,4,extra rare,Average Amount,Mexico
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Indonesia,35,rare,Average Amount,Switzerland
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Madagascar,35,rare,Average Amount,Switzerland
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Brazil,35,rare,Average Amount,Switzerland
35,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinidad,144,somewhat common,Average Amount,France
36,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Vietnam,144,somewhat common,Average Amount,France
37,Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Madagascar,144,somewhat common,Average Amount,France
38,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Venezuela,144,somewhat common,Average Amount,France
39,Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,Peru,144,somewhat common,Average Amount,France
40,Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Ecuador,4,extra rare,Average Amount,Netherlands
41,Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,Nicaragua,4,extra rare,Average Amount,Netherlands
42,Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Vietnam,4,extra rare,Average Amount,Netherlands
43,Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Tanzania,4,extra rare,Average Amount,Netherlands
44,Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,Nicaragua,738,most common,Light Amount,United States of America
45,Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3.0,Peru,738,most common,Light Amount,United States of America
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,Bolivia,738,most common,Light Amount,United States of America
47,Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,Peru,738,most common,Light Amount,United States of America
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,Ecuador,738,most common,Light Amount,United States of America
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,Venezuela,738,most common,Light Amount,United States of America
50,Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3.0,Dominican Republic,738,most common,Light Amount,United States of America
51,Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,Bolivia,738,most common,High Amount,United States of America
52,Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3.0,Bolivia,738,most common,Light Amount,United States of America
53,Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,Peru,738,most common,Light Amount,United States of America
54,Amano,Morobe,725,2011,0.7,U.S.A.,4.0,Papua New Guinea,738,most common,Average Amount,United States of America
55,Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
56,Amano,Guayas,470,2010,0.7,U.S.A.,4.0,Ecuador,738,most common,Average Amount,United States of America
57,Amano,Chuao,544,2010,0.7,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
58,Amano,Montanya,363,2009,0.7,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
59,Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,Indonesia,738,most common,Average Amount,United States of America
60,Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Madagascar,738,most common,Average Amount,United States of America
61,Amano,Cuyagua,147,2007,0.7,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
62,Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Venezuela,738,most common,Average Amount,United States of America
63,Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3.0,Ghana,21,extra rare,Average Amount,Spain
64,Amatller (Simon Coll),Ecuador,327,2009,0.7,Spain,2.75,Ecuador,21,extra rare,Average Amount,Spain
65,Amatller (Simon Coll),Ecuador,464,2009,0.85,Spain,2.75,Ecuador,21,extra rare,High Amount,Spain
66,Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3.0,Ghana,21,extra rare,High Amount,Spain
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,Peru,17,extra rare,Average Amount,Peru
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Peru,17,extra rare,Average Amount,Peru
69,Ambrosia,Belize,1494,2015,0.64,Canada,3.0,Belize,117,somewhat rare,Light Amount,Canada
70,Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Madagascar,117,somewhat rare,Average Amount,Canada
71,Ambrosia,Dominican Republic,1498,2015,0.75,Canada,3.25,Dominican Republic,117,somewhat rare,Average Amount,Canada
72,Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,Papua New Guinea,117,somewhat rare,Light Amount,Canada
73,Ambrosia,Venezuela,1498,2015,0.7,Canada,3.25,Venezuela,117,somewhat rare,Average Amount,Canada
74,Ambrosia,Peru,1498,2015,0.68,Canada,3.5,Peru,117,somewhat rare,Average Amount,Canada
75,Amedei,"Piura, Blanco de Criollo",979,2012,0.7,Italy,3.75,Peru,54,rare,Average Amount,Italy
76,Amedei,Porcelana,111,2007,0.7,Italy,4.0,Venezuela,54,rare,Average Amount,Italy
77,Amedei,Chuao,111,2007,0.7,Italy,5.0,Venezuela,54,rare,Average Amount,Italy
78,Amedei,Ecuador,123,2007,0.7,Italy,3.0,Ecuador,54,rare,Average Amount,Italy
79,Amedei,Jamaica,123,2007,0.7,Italy,3.0,Jamaica,54,rare,Average Amount,Italy
80,Amedei,Grenada,123,2007,0.7,Italy,3.5,Grenada,54,rare,Average Amount,Italy
81,Amedei,Venezuela,123,2007,0.7,Italy,3.75,Venezuela,54,rare,Average Amount,Italy
82,Amedei,Madagascar,123,2007,0.7,Italy,4.0,Madagascar,54,rare,Average Amount,Italy
83,Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinidad,54,rare,Average Amount,Italy
84,AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Brazil,17,extra rare,Average Amount,Brazil
85,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Brazil,17,extra rare,High Amount,Brazil
86,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Brazil,17,extra rare,Light Amount,Brazil
87,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Brazil,17,extra rare,Average Amount,Brazil
88,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Brazil,17,extra rare,Light Amount,Brazil
89,Anahata,Elvesia,1259,2014,0.75,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
90,Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,Bolivia,738,most common,Average Amount,United States of America
91,Ara,Madagascar,1375,2014,0.75,France,3.0,Madagascar,144,somewhat common,Average Amount,France
92,Ara,Chiapas,1379,2014,0.72,France,2.5,Mexico,144,somewhat common,Average Amount,France
93,Ara,Equateur,1379,2014,0.75,France,2.75,Ecuador,144,somewhat common,Average Amount,France
94,Ara,Trincheras,1379,2014,0.75,France,3.0,Venezuela,144,somewhat common,Average Amount,France
95,Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinidad,738,most common,Average Amount,United States of America
96,Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,Tanzania,738,most common,Average Amount,United States of America
97,Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Vietnam,738,most common,Average Amount,United States of America
98,Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
99,Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
100,Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,Guatemala,738,most common,Average Amount,United States of America
101,Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,Nicaragua,738,most common,Average Amount,United States of America
102,Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,Honduras,738,most common,Average Amount,United States of America
103,Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4.0,Costa Rica,738,most common,Average Amount,United States of America
104,Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Peru,738,most common,Average Amount,United States of America
105,Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
106,Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,Fiji,738,most common,Average Amount,United States of America
107,Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,Vietnam,738,most common,Average Amount,United States of America
108,Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,Brazil,738,most common,Average Amount,United States of America
109,Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Peru,738,most common,Average Amount,United States of America
110,Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Ecuador,738,most common,Average Amount,United States of America
111,Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,Domincan Republic,738,most common,Average Amount,United States of America
112,Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Belize,738,most common,Average Amount,United States of America
113,Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,Nicaragua,738,most common,Average Amount,United States of America
114,Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,Brazil,738,most common,Average Amount,United States of America
115,Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,Guatemala,738,most common,Average Amount,United States of America
116,Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
117,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinidad,95,somewhat rare,Average Amount,United Kingdom
118,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,Colombia,95,somewhat rare,Average Amount,United Kingdom
119,Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4.0,Haiti,95,somewhat rare,Average Amount,United Kingdom
120,Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,Panama,95,somewhat rare,Average Amount,United Kingdom
121,Artisan du Chocolat,Venezuela,486,2010,1.0,U.K.,1.75,Venezuela,95,somewhat rare,High Amount,United Kingdom
122,Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Jamaica,95,somewhat rare,Average Amount,United Kingdom
123,Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,Costa Rica,95,somewhat rare,Average Amount,United Kingdom
124,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Vietnam,95,somewhat rare,Average Amount,United Kingdom
125,Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,Indonesia,95,somewhat rare,Average Amount,United Kingdom
126,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,Venezuela,95,somewhat rare,Average Amount,United Kingdom
127,Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Indonesia,95,somewhat rare,Average Amount,United Kingdom
128,Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,U.K.,1.75,Brazil,95,somewhat rare,Average Amount,United Kingdom
129,Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3.0,Madagascar,95,somewhat rare,High Amount,United Kingdom
130,Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3.0,Peru,95,somewhat rare,Average Amount,United Kingdom
131,Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Dominican Republic,95,somewhat rare,Average Amount,United Kingdom
132,Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Congo,95,somewhat rare,Average Amount,United Kingdom
133,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Colombia,95,somewhat rare,Average Amount,United Kingdom
134,Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Tanzania,738,most common,Average Amount,United States of America
135,Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Tanzania,738,most common,Average Amount,United States of America
136,Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Honduras,738,most common,Average Amount,United States of America
137,Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Philippines,738,most common,Average Amount,United States of America
138,Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Mexico,738,most common,Average Amount,United States of America
139,Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3.0,Ecuador,738,most common,Average Amount,United States of America
140,Bahen & Co.,Papua New Guinea,1474,2015,0.7,Australia,3.5,Papua New Guinea,46,rare,Average Amount,Australia
141,Bahen & Co.,Sambirano,995,2012,0.7,Australia,3.0,Madagascar,46,rare,Average Amount,Australia
142,Bahen & Co.,Bahia,999,2012,0.7,Australia,2.5,Brazil,46,rare,Average Amount,Australia
143,Bakau,"Bambamarca, 2015",1454,2015,0.7,Peru,2.75,Peru,17,extra rare,Average Amount,Peru
144,Bakau,"Huallabamba, 2015",1454,2015,0.7,Peru,3.5,Peru,17,extra rare,Average Amount,Peru
145,Bar Au Chocolat,Bahia,1554,2015,0.7,U.S.A.,3.5,Brazil,738,most common,Average Amount,United States of America
146,Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4.0,Peru,738,most common,Average Amount,United States of America
147,Bar Au Chocolat,Duarte Province,983,2012,0.7,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
148,Bar Au Chocolat,Chiapas,983,2012,0.7,U.S.A.,3.5,Mexico,738,most common,Average Amount,United States of America
149,Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Madagascar,738,most common,Average Amount,United States of America
150,Baravelli's,single estate,955,2012,0.8,Wales,2.75,Costa Rica,1,extra rare,High Amount,United Kingdom
151,Batch,"Dominican Republic, Batch 3",1840,2016,0.65,U.S.A.,3.5,Domincan Republic,738,most common,Average Amount,United States of America
152,Batch,Brazil,1868,2016,0.7,U.S.A.,3.75,Brazil,738,most common,Average Amount,United States of America
153,Batch,Ecuador,1880,2016,0.65,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
154,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3.0,Malaysia,95,somewhat rare,Average Amount,United Kingdom
155,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,Malaysia,95,somewhat rare,Average Amount,United Kingdom
156,Beehive,"Brazil, Batch 20316",1784,2016,0.8,U.S.A.,2.75,Brazil,738,most common,High Amount,United States of America
157,Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,U.S.A.,2.75,Domincan Republic,738,most common,Average Amount,United States of America
158,Beehive,"Ecuador, Batch 31516",1784,2016,0.7,U.S.A.,2.75,Ecuador,738,most common,Average Amount,United States of America
159,Beehive,Ecuador,1788,2016,0.9,U.S.A.,2.75,Ecuador,738,most common,High Amount,United States of America
160,Belcolade,Costa Rica,586,2010,0.64,Belgium,2.75,Costa Rica,37,rare,Light Amount,Belgium
161,Belcolade,Papua New Guinea,586,2010,0.64,Belgium,2.75,Papua New Guinea,37,rare,Light Amount,Belgium
162,Belcolade,Peru,586,2010,0.64,Belgium,2.75,Peru,37,rare,Light Amount,Belgium
163,Belcolade,Ecuador,586,2010,0.71,Belgium,3.5,Ecuador,37,rare,Average Amount,Belgium
164,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,Tanzania,738,most common,Average Amount,United States of America
165,Bellflower,"Alto Beni, Palos Blanco",1804,2016,0.7,U.S.A.,3.25,Bolivia,738,most common,Average Amount,United States of America
166,Bellflower,"Oko Caribe, Duarte P.",1864,2016,0.7,U.S.A.,3.5,Domincan Republic,738,most common,Average Amount,United States of America
167,Belyzium,"Belize south, low fermentation",1768,2016,0.83,Germany,2.75,Belize,35,rare,High Amount,Germany
168,Belyzium,Belize south,1768,2016,0.78,Germany,3.0,Belize,35,rare,Average Amount,Germany
169,Belyzium,Belize south,1768,2016,0.83,Germany,3.5,Belize,35,rare,High Amount,Germany
170,Benoit Nihant,Baracoa,1141,2013,0.74,Belgium,3.5,Cuba,37,rare,Average Amount,Belgium
171,Benoit Nihant,Chuao,1141,2013,0.74,Belgium,3.5,Venezuela,37,rare,Average Amount,Belgium
172,Benoit Nihant,Cuyagua Village,1141,2013,0.74,Belgium,3.5,Venezuela,37,rare,Average Amount,Belgium
173,Benoit Nihant,Rio Peripa H.,1141,2013,0.73,Belgium,4.0,Ecuador,37,rare,Average Amount,Belgium
174,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4.0,Indonesia,37,rare,Average Amount,Belgium
175,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,0.72,Belgium,3.75,Madagascar,37,rare,Average Amount,Belgium
176,Beschle (Felchlin),Madagascar,636,2011,0.64,Switzerland,3.0,Madagascar,35,rare,Light Amount,Switzerland
177,Beschle (Felchlin),Maracaibo,636,2011,0.88,Switzerland,3.0,Venezuela,35,rare,High Amount,Switzerland
178,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,0.72,Switzerland,3.5,Venezuela,35,rare,Average Amount,Switzerland
179,Beschle (Felchlin),Ecuador,636,2011,0.72,Switzerland,4.0,Ecuador,35,rare,Average Amount,Switzerland
180,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.7,Switzerland,3.25,Venezuela,35,rare,Average Amount,Switzerland
181,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,Switzerland,3.25,Venezuela,35,rare,Average Amount,Switzerland
182,Beschle (Felchlin),"Java, Grand Cru",508,2010,0.64,Switzerland,3.5,Indonesia,35,rare,Light Amount,Switzerland
183,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,0.72,Switzerland,3.5,Venezuela,35,rare,Average Amount,Switzerland
184,Bisou,"Nicaragua, American style",1482,2015,0.76,U.S.A.,2.5,Nicaragua,738,most common,Average Amount,United States of America
185,Bisou,"San Andres, American style",1486,2015,0.76,U.S.A.,2.5,Costa Rica,738,most common,Average Amount,United States of America
186,Bisou,"San Andres, silk",1486,2015,0.78,U.S.A.,2.5,Costa Rica,738,most common,Average Amount,United States of America
187,Bisou,Belize,1486,2015,0.86,U.S.A.,3.25,Belize,738,most common,High Amount,United States of America
188,Bittersweet Origins,Ghana,963,2012,0.72,U.S.A.,3.5,Ghana,738,most common,Average Amount,United States of America
189,Bittersweet Origins,"Bali, Singaraja",478,2010,0.75,U.S.A.,3.25,Indonesia,738,most common,Average Amount,United States of America
190,Bittersweet Origins,2009 Hapa Nibby,502,2010,0.7,U.S.A.,3.75,"Dominican Rep., Bali",738,most common,Average Amount,United States of America
191,Bittersweet Origins,"Bali, Singaraja",558,2010,0.65,U.S.A.,2.75,Indonesia,738,most common,Average Amount,United States of America
192,Bittersweet Origins,"Sambirano, 2009",565,2010,0.7,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
193,Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
194,Bittersweet Origins,Puerto Plata,414,2009,0.75,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
195,Bittersweet Origins,Puerto Plata,414,2009,0.65,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
196,Bittersweet Origins,Sambirano,423,2009,0.75,U.S.A.,3.25,Madagascar,738,most common,Average Amount,United States of America
197,Bittersweet Origins,Sambirano,431,2009,0.65,U.S.A.,3.5,Madagascar,738,most common,Average Amount,United States of America
198,Bittersweet Origins,Sambirano,233,2008,0.71,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
199,Bittersweet Origins,Bocas del Toro,233,2008,0.75,U.S.A.,3.5,Panama,738,most common,Average Amount,United States of America
200,Bittersweet Origins,Puerto Plata,233,2008,0.68,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
201,Bittersweet Origins,Ankasa,256,2008,0.7,U.S.A.,3.0,Ghana,738,most common,Average Amount,United States of America
202,Black Mountain,La Red,256,2008,0.7,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
203,Black Mountain,Carenero Superior,256,2008,0.7,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
204,Black Mountain,Matiguas,256,2008,0.7,U.S.A.,3.0,Nicaragua,738,most common,Average Amount,United States of America
205,Black River (A. Morin),Blue Mountain Region,1331,2014,0.7,U.K.,2.75,Jamaica,95,somewhat rare,Average Amount,United Kingdom
206,Blanxart,"Congo, Grand Cru",1046,2013,0.82,Spain,3.5,Congo,21,extra rare,High Amount,Spain
207,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,U.S.A.,3.5,Madagascar,738,most common,High Amount,United States of America
208,Blue Bandana,Lachua,1752,2016,0.75,U.S.A.,2.75,Guatemala,738,most common,Average Amount,United States of America
209,Blue Bandana,Kokoa Kamili,1752,2016,0.75,U.S.A.,3.5,Tanzania,738,most common,Average Amount,United States of America
210,Blue Bandana,Zorzal Reserva,1756,2016,0.75,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
211,Blue Bandana,Guatemala,911,2012,0.7,U.S.A.,3.5,Guatemala,738,most common,Average Amount,United States of America
212,Blue Bandana,Madagascar,911,2012,0.7,U.S.A.,3.75,Madagascar,738,most common,Average Amount,United States of America
213,Bonnat,Selva Maya,1912,2016,0.75,France,3.5,Mexico,144,somewhat common,Average Amount,France
214,Bonnat,Kaori,1339,2014,0.75,France,4.0,Brazil,144,somewhat common,Average Amount,France
215,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,0.75,France,3.25,Dominican Republic,144,somewhat common,Average Amount,France
216,Bonnat,Surfin,1418,2014,0.65,France,3.75,"Venez,Africa,Brasil,Peru,Mex",144,somewhat common,Average Amount,France
217,Bonnat,Maragnam,1038,2013,0.75,France,3.5,Brazil,144,somewhat common,Average Amount,France
218,Bonnat,Gabon,1042,2013,0.75,France,3.25,Gabon,144,somewhat common,Average Amount,France
219,Bonnat,Cuba,629,2011,0.75,France,3.5,Cuba,144,somewhat common,Average Amount,France
220,Bonnat,"Cusco, Cacao Cusco",629,2011,0.75,France,3.5,Peru,144,somewhat common,Average Amount,France
221,Bonnat,Piura Blanco,629,2011,0.75,France,3.5,Peru,144,somewhat common,Average Amount,France
222,Bonnat,Libanio,629,2011,0.75,France,3.75,Brazil,144,somewhat common,Average Amount,France
223,Bonnat,Haiti,629,2011,0.75,France,4.0,Haiti,144,somewhat common,Average Amount,France
224,Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4.0,Madagascar,144,somewhat common,Average Amount,France
225,Bonnat,Juliana,672,2011,0.75,France,3.5,Brazil,144,somewhat common,Average Amount,France
226,Bonnat,Jamaique,761,2011,0.75,France,3.25,Jamaica,144,somewhat common,Average Amount,France
227,Bonnat,Ivory Coast,331,2009,0.75,France,3.0,Ivory Coast,144,somewhat common,Average Amount,France
228,Bonnat,"Porcelana, Apotequil",336,2009,0.75,France,2.75,Peru,144,somewhat common,Average Amount,France
229,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,France,3.0,Mexico,144,somewhat common,Average Amount,France
230,Bonnat,"Xoconusco, cacao Real",395,2009,0.75,France,3.0,Mexico,144,somewhat common,Average Amount,France
231,Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4.0,Venezuela,144,somewhat common,Average Amount,France
