,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company Latitude,Company Logitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,Bean_Origin_Category
60,Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669,56,Common
61,Amano,Cuyagua,147,2007,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,6,Somewhat Rare
62,Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238,17,Common
63,Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3.0,Ghana,40.46,-3.7,21,extra rare,Average Amount,-1.0232,7.9465,15,Somewhat Common
64,Amatller (Simon Coll),Ecuador,327,2009,0.7,Spain,2.75,Ecuador,40.46,-3.7,21,extra rare,Average Amount,-78.1834,-1.8312,41,Common
65,Amatller (Simon Coll),Ecuador,464,2009,0.85,Spain,2.75,Ecuador,40.46,-3.7,21,extra rare,High Amount,-78.1834,-1.8312,41,Common
66,Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3.0,Ghana,40.46,-3.7,21,extra rare,High Amount,-1.0232,7.9465,15,Somewhat Common
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
69,Ambrosia,Belize,1494,2015,0.64,Canada,3.0,Belize,56.13,-106.35,117,somewhat rare,Light Amount,-88.4977,17.1899,13,Somewhat Common
70,Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Madagascar,56.13,-106.35,117,somewhat rare,Average Amount,46.8691,-18.7669,56,Common
71,Ambrosia,Dominican Republic,1498,2015,0.75,Canada,3.25,Dominican Republic,56.13,-106.35,117,somewhat rare,Average Amount,-70.1627,18.7357,37,Common
72,Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,Papua New Guinea,56.13,-106.35,117,somewhat rare,Light Amount,147.3257,-6.314993,15,Somewhat Common
73,Ambrosia,Venezuela,1498,2015,0.7,Canada,3.25,Venezuela,56.13,-106.35,117,somewhat rare,Average Amount,-66.5897,6.4238,21,Common
74,Ambrosia,Peru,1498,2015,0.68,Canada,3.5,Peru,56.13,-106.35,117,somewhat rare,Average Amount,-75.0152,-9.189967,45,Common
75,Amedei,"Piura, Blanco de Criollo",979,2012,0.7,Italy,3.75,Peru,41.87,12.57,54,rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
76,Amedei,Porcelana,111,2007,0.7,Italy,4.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,11,Somewhat Common
77,Amedei,Chuao,111,2007,0.7,Italy,5.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,19,Common
78,Amedei,Ecuador,123,2007,0.7,Italy,3.0,Ecuador,41.87,12.57,54,rare,Average Amount,-78.1834,-1.8312,41,Common
79,Amedei,Jamaica,123,2007,0.7,Italy,3.0,Jamaica,41.87,12.57,54,rare,Average Amount,-77.2975,18.1096,8,Somewhat Rare
80,Amedei,Grenada,123,2007,0.7,Italy,3.5,Grenada,41.87,12.57,54,rare,Average Amount,-61.6042,12.1165,11,Somewhat Common
81,Amedei,Venezuela,123,2007,0.7,Italy,3.75,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238,21,Common
82,Amedei,Madagascar,123,2007,0.7,Italy,4.0,Madagascar,41.87,12.57,54,rare,Average Amount,46.8691,-18.7669,56,Common
83,Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinidad,41.87,12.57,54,rare,Average Amount,-61.2225,10.6918,11,Somewhat Common
84,AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Brazil,-14.24,-51.93,17,extra rare,Average Amount,-51.9253,-14.235,2,Rare
85,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Brazil,-14.24,-51.93,17,extra rare,High Amount,-51.9253,-14.235,4,Somewhat Rare
86,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Light Amount,-51.9253,-14.235,4,Somewhat Rare
87,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Average Amount,-51.9253,-14.235,4,Somewhat Rare
88,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Brazil,-14.24,-51.93,17,extra rare,Light Amount,-51.9253,-14.235,4,Somewhat Rare
89,Anahata,Elvesia,1259,2014,0.75,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,5,Somewhat Rare
90,Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,Bolivia,37.09,-95.71,738,most common,Average Amount,-63.5887,-16.2902,8,Somewhat Rare
91,Ara,Madagascar,1375,2014,0.75,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount,46.8691,-18.7669,56,Common
92,Ara,Chiapas,1379,2014,0.72,France,2.5,Mexico,46.6,2.21,144,somewhat common,Average Amount,-102.5528,23.6345,2,Rare
93,Ara,Equateur,1379,2014,0.75,France,2.75,Ecuador,46.6,2.21,144,somewhat common,Average Amount,-78.1834,-1.8312,5,Somewhat Rare
94,Ara,Trincheras,1379,2014,0.75,France,3.0,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238,1,Extra Rare
95,Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinidad,37.09,-95.71,738,most common,Average Amount,-61.2225,10.6918,1,Extra Rare
96,Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028,6,Somewhat Rare
97,Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Vietnam,37.09,-95.71,738,most common,Average Amount,108.2772,14.0583,5,Somewhat Rare
98,Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,2,Rare
99,Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
100,Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,Guatemala,37.09,-95.71,738,most common,Average Amount,-90.2308,15.7835,3,Somewhat Rare
101,Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,Nicaragua,37.09,-95.71,738,most common,Average Amount,-85.2072,12.8654,3,Somewhat Rare
102,Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,Honduras,37.09,-95.71,738,most common,Average Amount,-86.2419,15.2,1,Extra Rare
103,Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4.0,Costa Rica,37.09,-95.71,738,most common,Average Amount,-84.0739,9.7489,1,Extra Rare
104,Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,1,Extra Rare
105,Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,5,Somewhat Rare
106,Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,Fiji,37.09,-95.71,738,most common,Average Amount,179.4144,-17.7134,2,Rare
107,Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,Vietnam,37.09,-95.71,738,most common,Average Amount,108.2772,14.0583,4,Somewhat Rare
108,Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235,2,Rare
109,Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,2,Rare
110,Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
111,Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,6,Somewhat Rare
112,Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Belize,37.09,-95.71,738,most common,Average Amount,-88.4977,17.1899,10,Somewhat Common
113,Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,Nicaragua,37.09,-95.71,738,most common,Average Amount,-85.2072,12.8654,2,Rare
114,Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235,2,Rare
115,Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,Guatemala,37.09,-95.71,738,most common,Average Amount,-90.2308,15.7835,5,Somewhat Rare
116,Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,5,Somewhat Rare
117,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinidad,55.37,-1.17,95,somewhat rare,Average Amount,-61.2225,10.6918,1,Extra Rare
118,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,Colombia,55.37,-1.17,95,somewhat rare,Average Amount,-74.2973,4.5709,1,Extra Rare
119,Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4.0,Haiti,55.37,-1.17,95,somewhat rare,Average Amount,-72.2852,18.9712,3,Somewhat Rare
120,Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,Panama,55.37,-1.17,95,somewhat rare,Average Amount,-80.7821,8.537981,3,Somewhat Rare
121,Artisan du Chocolat,Venezuela,486,2010,1.0,U.K.,1.75,Venezuela,55.37,-1.17,95,somewhat rare,High Amount,-66.5897,6.4238,21,Common
122,Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Jamaica,55.37,-1.17,95,somewhat rare,Average Amount,-77.2975,18.1096,8,Somewhat Rare
123,Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,Costa Rica,55.37,-1.17,95,somewhat rare,Average Amount,-84.0739,9.7489,11,Somewhat Common
124,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Vietnam,55.37,-1.17,95,somewhat rare,Average Amount,108.2772,14.0583,1,Extra Rare
125,Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,Indonesia,55.37,-1.17,95,somewhat rare,Average Amount,113.9213,-0.7893,1,Extra Rare
126,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,Venezuela,55.37,-1.17,95,somewhat rare,Average Amount,-66.5897,6.4238,1,Extra Rare
127,Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Indonesia,55.37,-1.17,95,somewhat rare,Average Amount,113.9213,-0.7893,3,Somewhat Rare
128,Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,U.K.,1.75,Brazil,55.37,-1.17,95,somewhat rare,Average Amount,-51.9253,-14.235,1,Extra Rare
129,Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3.0,Madagascar,55.37,-1.17,95,somewhat rare,High Amount,46.8691,-18.7669,56,Common
130,Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3.0,Peru,55.37,-1.17,95,somewhat rare,Average Amount,-75.0152,-9.189967,45,Common
131,Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Dominican Republic,55.37,-1.17,95,somewhat rare,Average Amount,-70.1627,18.7357,37,Common
132,Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Congo,55.37,-1.17,95,somewhat rare,Average Amount,23.656,-4.0383,2,Rare
133,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Colombia,55.37,-1.17,95,somewhat rare,Average Amount,-74.2973,4.5709,1,Extra Rare
134,Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028,1,Extra Rare
135,Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028,1,Extra Rare
136,Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Honduras,37.09,-95.71,738,most common,Average Amount,-86.2419,15.2,1,Extra Rare
137,Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Philippines,37.09,-95.71,738,most common,Average Amount,121.774,12.8797,1,Extra Rare
138,Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Mexico,37.09,-95.71,738,most common,Average Amount,-102.5528,23.6345,3,Somewhat Rare
139,Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3.0,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
140,Bahen & Co.,Papua New Guinea,1474,2015,0.7,Australia,3.5,Papua New Guinea,-25.27,133.78,46,rare,Average Amount,147.3257,-6.314993,15,Somewhat Common
141,Bahen & Co.,Sambirano,995,2012,0.7,Australia,3.0,Madagascar,-25.27,133.78,46,rare,Average Amount,46.8691,-18.7669,19,Common
142,Bahen & Co.,Bahia,999,2012,0.7,Australia,2.5,Brazil,-25.27,133.78,46,rare,Average Amount,-51.9253,-14.235,4,Somewhat Rare
143,Bakau,"Bambamarca, 2015",1454,2015,0.7,Peru,2.75,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
144,Bakau,"Huallabamba, 2015",1454,2015,0.7,Peru,3.5,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967,1,Extra Rare
145,Bar Au Chocolat,Bahia,1554,2015,0.7,U.S.A.,3.5,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235,4,Somewhat Rare
146,Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4.0,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967,3,Somewhat Rare
147,Bar Au Chocolat,Duarte Province,983,2012,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
148,Bar Au Chocolat,Chiapas,983,2012,0.7,U.S.A.,3.5,Mexico,37.09,-95.71,738,most common,Average Amount,-102.5528,23.6345,2,Rare
149,Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669,19,Common
150,Baravelli's,single estate,955,2012,0.8,Wales,2.75,Costa Rica,52.13,-3.6,1,extra rare,High Amount,-84.0739,9.7489,1,Extra Rare
151,Batch,"Dominican Republic, Batch 3",1840,2016,0.65,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
152,Batch,Brazil,1868,2016,0.7,U.S.A.,3.75,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235,11,Somewhat Common
153,Batch,Ecuador,1880,2016,0.65,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,41,Common
154,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3.0,Malaysia,55.37,-1.17,95,somewhat rare,Average Amount,101.9758,4.2105,1,Extra Rare
155,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,Malaysia,55.37,-1.17,95,somewhat rare,Average Amount,101.9758,4.2105,1,Extra Rare
156,Beehive,"Brazil, Batch 20316",1784,2016,0.8,U.S.A.,2.75,Brazil,37.09,-95.71,738,most common,High Amount,-51.9253,-14.235,1,Extra Rare
157,Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,U.S.A.,2.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357,1,Extra Rare
158,Beehive,"Ecuador, Batch 31516",1784,2016,0.7,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312,1,Extra Rare
159,Beehive,Ecuador,1788,2016,0.9,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,High Amount,-78.1834,-1.8312,41,Common
160,Belcolade,Costa Rica,586,2010,0.64,Belgium,2.75,Costa Rica,50.85,4.47,37,rare,Light Amount,-84.0739,9.7489,11,Somewhat Common
161,Belcolade,Papua New Guinea,586,2010,0.64,Belgium,2.75,Papua New Guinea,50.85,4.47,37,rare,Light Amount,147.3257,-6.314993,15,Somewhat Common
162,Belcolade,Peru,586,2010,0.64,Belgium,2.75,Peru,50.85,4.47,37,rare,Light Amount,-75.0152,-9.189967,45,Common
163,Belcolade,Ecuador,586,2010,0.71,Belgium,3.5,Ecuador,50.85,4.47,37,rare,Average Amount,-78.1834,-1.8312,41,Common
164,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028,4,Somewhat Rare
