,Unnamed: 0.1,Unnamed: 0,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company Latitude,Company Logitude,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Bean Origin Longitude,Bean Origin Latitude
28,28,28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Fiji,-17.71,179.41,4,extra rare,Average Amount,179.4144,-17.7134
29,29,29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Ecuador,-1.83,-78.18,54,rare,Light Amount,-78.1834,-1.8312
30,30,30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3.0,Ecuador,-1.83,-78.18,54,rare,Average Amount,-78.1834,-1.8312
31,31,31,Ah Cacao,Tabasco,316,2009,0.7,Mexico,3.0,Mexico,23.63,-102.55,4,extra rare,Average Amount,-102.5528,23.6345
32,32,32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Indonesia,46.82,8.23,35,rare,Average Amount,113.9213,-0.7893
33,33,33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Madagascar,46.82,8.23,35,rare,Average Amount,46.8691,-18.7669
34,34,34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Brazil,46.82,8.23,35,rare,Average Amount,-51.9253,-14.235
35,35,35,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinidad,46.6,2.21,144,somewhat common,Average Amount,-61.2225,10.6918
36,36,36,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Vietnam,46.6,2.21,144,somewhat common,Average Amount,108.2772,14.0583
37,37,37,Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount,46.8691,-18.7669
38,38,38,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238
39,39,39,Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,Peru,46.6,2.21,144,somewhat common,Average Amount,-75.0152,-9.189967
40,40,40,Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Ecuador,52.13,5.29,4,extra rare,Average Amount,-78.1834,-1.8312
41,41,41,Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,Nicaragua,52.13,5.29,4,extra rare,Average Amount,-85.2072,12.8654
42,42,42,Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Vietnam,52.13,5.29,4,extra rare,Average Amount,108.2772,14.0583
43,43,43,Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Tanzania,52.13,5.29,4,extra rare,Average Amount,34.8888,-6.369028
44,44,44,Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,Nicaragua,37.09,-95.71,738,most common,Light Amount,-85.2072,12.8654
45,45,45,Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3.0,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967
46,46,46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,Bolivia,37.09,-95.71,738,most common,Light Amount,-63.5887,-16.2902
47,47,47,Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967
48,48,48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Light Amount,-78.1834,-1.8312
49,49,49,Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,Venezuela,37.09,-95.71,738,most common,Light Amount,-66.5897,6.4238
50,50,50,Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Light Amount,-70.1627,18.7357
51,51,51,Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,Bolivia,37.09,-95.71,738,most common,High Amount,-63.5887,-16.2902
52,52,52,Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3.0,Bolivia,37.09,-95.71,738,most common,Light Amount,-63.5887,-16.2902
53,53,53,Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,Peru,37.09,-95.71,738,most common,Light Amount,-75.0152,-9.189967
54,54,54,Amano,Morobe,725,2011,0.7,U.S.A.,4.0,Papua New Guinea,37.09,-95.71,738,most common,Average Amount,147.3257,-6.314993
55,55,55,Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
56,56,56,Amano,Guayas,470,2010,0.7,U.S.A.,4.0,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
57,57,57,Amano,Chuao,544,2010,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238
58,58,58,Amano,Montanya,363,2009,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238
59,59,59,Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,Indonesia,37.09,-95.71,738,most common,Average Amount,113.9213,-0.7893
60,60,60,Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669
61,61,61,Amano,Cuyagua,147,2007,0.7,U.S.A.,3.0,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238
62,62,62,Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Venezuela,37.09,-95.71,738,most common,Average Amount,-66.5897,6.4238
63,63,63,Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3.0,Ghana,40.46,-3.7,21,extra rare,Average Amount,-1.0232,7.9465
64,64,64,Amatller (Simon Coll),Ecuador,327,2009,0.7,Spain,2.75,Ecuador,40.46,-3.7,21,extra rare,Average Amount,-78.1834,-1.8312
65,65,65,Amatller (Simon Coll),Ecuador,464,2009,0.85,Spain,2.75,Ecuador,40.46,-3.7,21,extra rare,High Amount,-78.1834,-1.8312
66,66,66,Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3.0,Ghana,40.46,-3.7,21,extra rare,High Amount,-1.0232,7.9465
67,67,67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967
68,68,68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967
69,69,69,Ambrosia,Belize,1494,2015,0.64,Canada,3.0,Belize,56.13,-106.35,117,somewhat rare,Light Amount,-88.4977,17.1899
70,70,70,Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Madagascar,56.13,-106.35,117,somewhat rare,Average Amount,46.8691,-18.7669
71,71,71,Ambrosia,Dominican Republic,1498,2015,0.75,Canada,3.25,Dominican Republic,56.13,-106.35,117,somewhat rare,Average Amount,-70.1627,18.7357
72,72,72,Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,Papua New Guinea,56.13,-106.35,117,somewhat rare,Light Amount,147.3257,-6.314993
73,73,73,Ambrosia,Venezuela,1498,2015,0.7,Canada,3.25,Venezuela,56.13,-106.35,117,somewhat rare,Average Amount,-66.5897,6.4238
74,74,74,Ambrosia,Peru,1498,2015,0.68,Canada,3.5,Peru,56.13,-106.35,117,somewhat rare,Average Amount,-75.0152,-9.189967
75,75,75,Amedei,"Piura, Blanco de Criollo",979,2012,0.7,Italy,3.75,Peru,41.87,12.57,54,rare,Average Amount,-75.0152,-9.189967
76,76,76,Amedei,Porcelana,111,2007,0.7,Italy,4.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238
77,77,78,Amedei,Chuao,111,2007,0.7,Italy,5.0,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238
78,78,79,Amedei,Ecuador,123,2007,0.7,Italy,3.0,Ecuador,41.87,12.57,54,rare,Average Amount,-78.1834,-1.8312
79,79,80,Amedei,Jamaica,123,2007,0.7,Italy,3.0,Jamaica,41.87,12.57,54,rare,Average Amount,-77.2975,18.1096
80,80,81,Amedei,Grenada,123,2007,0.7,Italy,3.5,Grenada,41.87,12.57,54,rare,Average Amount,-61.6042,12.1165
81,81,82,Amedei,Venezuela,123,2007,0.7,Italy,3.75,Venezuela,41.87,12.57,54,rare,Average Amount,-66.5897,6.4238
82,82,83,Amedei,Madagascar,123,2007,0.7,Italy,4.0,Madagascar,41.87,12.57,54,rare,Average Amount,46.8691,-18.7669
83,83,84,Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinidad,41.87,12.57,54,rare,Average Amount,-61.2225,10.6918
84,84,88,AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Brazil,-14.24,-51.93,17,extra rare,Average Amount,-51.9253,-14.235
85,85,89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Brazil,-14.24,-51.93,17,extra rare,High Amount,-51.9253,-14.235
86,86,90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Light Amount,-51.9253,-14.235
87,87,91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Brazil,-14.24,-51.93,17,extra rare,Average Amount,-51.9253,-14.235
88,88,92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Brazil,-14.24,-51.93,17,extra rare,Light Amount,-51.9253,-14.235
89,89,93,Anahata,Elvesia,1259,2014,0.75,U.S.A.,3.0,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
90,90,94,Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,Bolivia,37.09,-95.71,738,most common,Average Amount,-63.5887,-16.2902
91,91,95,Ara,Madagascar,1375,2014,0.75,France,3.0,Madagascar,46.6,2.21,144,somewhat common,Average Amount,46.8691,-18.7669
92,92,96,Ara,Chiapas,1379,2014,0.72,France,2.5,Mexico,46.6,2.21,144,somewhat common,Average Amount,-102.5528,23.6345
93,93,97,Ara,Equateur,1379,2014,0.75,France,2.75,Ecuador,46.6,2.21,144,somewhat common,Average Amount,-78.1834,-1.8312
94,94,98,Ara,Trincheras,1379,2014,0.75,France,3.0,Venezuela,46.6,2.21,144,somewhat common,Average Amount,-66.5897,6.4238
95,95,99,Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinidad,37.09,-95.71,738,most common,Average Amount,-61.2225,10.6918
96,96,100,Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028
97,97,101,Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Vietnam,37.09,-95.71,738,most common,Average Amount,108.2772,14.0583
98,98,102,Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
99,99,103,Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
100,100,104,Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,Guatemala,37.09,-95.71,738,most common,Average Amount,-90.2308,15.7835
101,101,105,Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,Nicaragua,37.09,-95.71,738,most common,Average Amount,-85.2072,12.8654
102,102,106,Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,Honduras,37.09,-95.71,738,most common,Average Amount,-86.2419,15.2
103,103,107,Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4.0,Costa Rica,37.09,-95.71,738,most common,Average Amount,-84.0739,9.7489
104,104,108,Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967
105,105,109,Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
106,106,110,Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,Fiji,37.09,-95.71,738,most common,Average Amount,179.4144,-17.7134
107,107,111,Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,Vietnam,37.09,-95.71,738,most common,Average Amount,108.2772,14.0583
108,108,112,Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235
109,109,113,Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967
110,110,114,Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
111,111,115,Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
112,112,116,Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Belize,37.09,-95.71,738,most common,Average Amount,-88.4977,17.1899
113,113,117,Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,Nicaragua,37.09,-95.71,738,most common,Average Amount,-85.2072,12.8654
114,114,118,Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235
115,115,119,Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,Guatemala,37.09,-95.71,738,most common,Average Amount,-90.2308,15.7835
116,116,120,Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
117,117,121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinidad,55.37,-1.17,95,somewhat rare,Average Amount,-61.2225,10.6918
118,118,122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,Colombia,55.37,-1.17,95,somewhat rare,Average Amount,-74.2973,4.5709
119,119,123,Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4.0,Haiti,55.37,-1.17,95,somewhat rare,Average Amount,-72.2852,18.9712
120,120,124,Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,Panama,55.37,-1.17,95,somewhat rare,Average Amount,-80.7821,8.537981
121,121,125,Artisan du Chocolat,Venezuela,486,2010,1.0,U.K.,1.75,Venezuela,55.37,-1.17,95,somewhat rare,High Amount,-66.5897,6.4238
122,122,126,Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Jamaica,55.37,-1.17,95,somewhat rare,Average Amount,-77.2975,18.1096
123,123,127,Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,Costa Rica,55.37,-1.17,95,somewhat rare,Average Amount,-84.0739,9.7489
124,124,128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Vietnam,55.37,-1.17,95,somewhat rare,Average Amount,108.2772,14.0583
125,125,129,Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,Indonesia,55.37,-1.17,95,somewhat rare,Average Amount,113.9213,-0.7893
126,126,130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,Venezuela,55.37,-1.17,95,somewhat rare,Average Amount,-66.5897,6.4238
127,127,131,Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Indonesia,55.37,-1.17,95,somewhat rare,Average Amount,113.9213,-0.7893
128,128,132,Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,U.K.,1.75,Brazil,55.37,-1.17,95,somewhat rare,Average Amount,-51.9253,-14.235
129,129,133,Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3.0,Madagascar,55.37,-1.17,95,somewhat rare,High Amount,46.8691,-18.7669
130,130,134,Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3.0,Peru,55.37,-1.17,95,somewhat rare,Average Amount,-75.0152,-9.189967
131,131,135,Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Dominican Republic,55.37,-1.17,95,somewhat rare,Average Amount,-70.1627,18.7357
132,132,136,Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Congo,55.37,-1.17,95,somewhat rare,Average Amount,23.656,-4.0383
133,133,137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Colombia,55.37,-1.17,95,somewhat rare,Average Amount,-74.2973,4.5709
134,134,138,Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028
135,135,139,Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028
136,136,140,Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Honduras,37.09,-95.71,738,most common,Average Amount,-86.2419,15.2
137,137,141,Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Philippines,37.09,-95.71,738,most common,Average Amount,121.774,12.8797
138,138,142,Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Mexico,37.09,-95.71,738,most common,Average Amount,-102.5528,23.6345
139,139,143,Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3.0,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
140,140,145,Bahen & Co.,Papua New Guinea,1474,2015,0.7,Australia,3.5,Papua New Guinea,-25.27,133.78,46,rare,Average Amount,147.3257,-6.314993
141,141,146,Bahen & Co.,Sambirano,995,2012,0.7,Australia,3.0,Madagascar,-25.27,133.78,46,rare,Average Amount,46.8691,-18.7669
142,142,147,Bahen & Co.,Bahia,999,2012,0.7,Australia,2.5,Brazil,-25.27,133.78,46,rare,Average Amount,-51.9253,-14.235
143,143,149,Bakau,"Bambamarca, 2015",1454,2015,0.7,Peru,2.75,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967
144,144,150,Bakau,"Huallabamba, 2015",1454,2015,0.7,Peru,3.5,Peru,-9.19,-75.02,17,extra rare,Average Amount,-75.0152,-9.189967
145,145,151,Bar Au Chocolat,Bahia,1554,2015,0.7,U.S.A.,3.5,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235
146,146,152,Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4.0,Peru,37.09,-95.71,738,most common,Average Amount,-75.0152,-9.189967
147,147,153,Bar Au Chocolat,Duarte Province,983,2012,0.7,U.S.A.,3.25,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
148,148,154,Bar Au Chocolat,Chiapas,983,2012,0.7,U.S.A.,3.5,Mexico,37.09,-95.71,738,most common,Average Amount,-102.5528,23.6345
149,149,155,Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Madagascar,37.09,-95.71,738,most common,Average Amount,46.8691,-18.7669
150,150,156,Baravelli's,single estate,955,2012,0.8,Wales,2.75,Costa Rica,52.13,-3.6,1,extra rare,High Amount,-84.0739,9.7489
151,151,157,Batch,"Dominican Republic, Batch 3",1840,2016,0.65,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
152,152,158,Batch,Brazil,1868,2016,0.7,U.S.A.,3.75,Brazil,37.09,-95.71,738,most common,Average Amount,-51.9253,-14.235
153,153,159,Batch,Ecuador,1880,2016,0.65,U.S.A.,3.25,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
154,154,160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3.0,Malaysia,55.37,-1.17,95,somewhat rare,Average Amount,101.9758,4.2105
155,155,161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,Malaysia,55.37,-1.17,95,somewhat rare,Average Amount,101.9758,4.2105
156,156,162,Beehive,"Brazil, Batch 20316",1784,2016,0.8,U.S.A.,2.75,Brazil,37.09,-95.71,738,most common,High Amount,-51.9253,-14.235
157,157,163,Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,U.S.A.,2.75,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
158,158,164,Beehive,"Ecuador, Batch 31516",1784,2016,0.7,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,Average Amount,-78.1834,-1.8312
159,159,165,Beehive,Ecuador,1788,2016,0.9,U.S.A.,2.75,Ecuador,37.09,-95.71,738,most common,High Amount,-78.1834,-1.8312
160,160,166,Belcolade,Costa Rica,586,2010,0.64,Belgium,2.75,Costa Rica,50.85,4.47,37,rare,Light Amount,-84.0739,9.7489
161,161,167,Belcolade,Papua New Guinea,586,2010,0.64,Belgium,2.75,Papua New Guinea,50.85,4.47,37,rare,Light Amount,147.3257,-6.314993
162,162,168,Belcolade,Peru,586,2010,0.64,Belgium,2.75,Peru,50.85,4.47,37,rare,Light Amount,-75.0152,-9.189967
163,163,169,Belcolade,Ecuador,586,2010,0.71,Belgium,3.5,Ecuador,50.85,4.47,37,rare,Average Amount,-78.1834,-1.8312
164,164,170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,Tanzania,37.09,-95.71,738,most common,Average Amount,34.8888,-6.369028
165,165,171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,0.7,U.S.A.,3.25,Bolivia,37.09,-95.71,738,most common,Average Amount,-63.5887,-16.2902
166,166,172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,0.7,U.S.A.,3.5,Dominican Republic,37.09,-95.71,738,most common,Average Amount,-70.1627,18.7357
167,167,173,Belyzium,"Belize south, low fermentation",1768,2016,0.83,Germany,2.75,Belize,51.17,10.45,35,rare,High Amount,-88.4977,17.1899
168,168,174,Belyzium,Belize south,1768,2016,0.78,Germany,3.0,Belize,51.17,10.45,35,rare,Average Amount,-88.4977,17.1899
169,169,175,Belyzium,Belize south,1768,2016,0.83,Germany,3.5,Belize,51.17,10.45,35,rare,High Amount,-88.4977,17.1899
170,170,176,Benoit Nihant,Baracoa,1141,2013,0.74,Belgium,3.5,Cuba,50.85,4.47,37,rare,Average Amount,-77.7812,21.5218
171,171,177,Benoit Nihant,Chuao,1141,2013,0.74,Belgium,3.5,Venezuela,50.85,4.47,37,rare,Average Amount,-66.5897,6.4238
172,172,178,Benoit Nihant,Cuyagua Village,1141,2013,0.74,Belgium,3.5,Venezuela,50.85,4.47,37,rare,Average Amount,-66.5897,6.4238
173,173,179,Benoit Nihant,Rio Peripa H.,1141,2013,0.73,Belgium,4.0,Ecuador,50.85,4.47,37,rare,Average Amount,-78.1834,-1.8312
174,174,180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4.0,Indonesia,50.85,4.47,37,rare,Average Amount,113.9213,-0.7893
